N,q,leg,outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
1,16,0,16,stall,9.692549476186098e-06,496.02004721896265,507.59725544821777,511.63854670184605,3212.9571441583334,3124.9939990073894,0.1969510339299707,13.9
1,16,0,17,stall,9.145838323441862e-06,478.35798558832107,494.1564342689162,509.1995115964778,3096.458770834094,3039.148394690077,0.17720535213250344,13.8
1,16,0,18,stall,8.704248467551282e-06,460.04578944193497,466.4421856896297,477.5428775862025,3167.4675838044254,2956.2439162618234,0.16160784613965598,13.7
1,16,0,19,stall,8.321693078656894e-06,427.47313625295646,452.89231293600096,467.5961146204486,3208.6211258631643,2952.9390052323893,0.15199606175734376,13.9
1,16,0,20,stall,7.989494804839894e-06,431.4316828761662,438.6628025099526,449.7306449698897,3092.3314824995496,2926.0118135093767,0.1413374485715324,13.8
1,16,0,21,stall,7.681507229186999e-06,419.17251754051676,418.14873789269313,433.44633930820464,3064.6062443914175,3005.1887613282706,0.13894427751555416,13.8
1,16,0,22,stall,7.408802313182704e-06,403.5378880804785,393.94871499166584,406.7991335553103,3105.426347095239,2885.2849235249328,0.1391272206550942,13.8
1,16,0,23,stall,7.172885685893089e-06,391.2697092921951,382.3350657773972,400.51468557095404,3064.7663736734207,2859.777668329733,0.14003331537316283,13.9
1,16,0,24,stall,6.956896030013957e-06,387.17720963666125,381.7222221347265,398.6029442014285,3001.2331904280063,2816.123709807121,0.13546175184654152,14.0
1,16,0,25,stall,6.768618818903472e-06,384.7583582384999,388.67928108894034,390.3261932118198,2932.1879685156214,2788.26691293782,0.13400884966444093,13.7
1,16,0,26,stall,6.583368201483661e-06,381.0885706901388,384.1997878730581,382.3282619792394,2871.184449666252,2792.606240236451,0.12911603915494174,13.7
1,16,0,27,stall,6.403507666997318e-06,360.7455415075833,357.3435240429035,361.36989386417895,2787.4495522727816,2800.4386097604033,0.12745442426775888,13.7
1,16,0,28,stall,6.225730466954455e-06,352.0741452447851,352.5710039978094,361.804517991402,2825.642542918182,2735.0076958205996,0.12449847892422733,13.7
1,16,0,29,stall,6.067584044885553e-06,349.1824989061598,344.42266515497977,354.8365673000262,2756.7195396296393,2676.8117556270513,0.12010254884939342,13.9
1,16,0,30,stall,5.9241548215104994e-06,334.80077839514877,337.04156616113323,343.8739973537537,2717.461158752288,2582.3040946978067,0.11857825625490037,13.9
1,16,0,31,stall,5.778627760293395e-06,320.45960900151726,319.5741933708405,317.2258973769999,2810.3535147124107,2567.7627474622595,0.11183549643359325,14.1
1,16,0,32,stall,5.644288942285763e-06,325.83490090563316,322.17522636898366,316.4093344929597,2795.4374215614803,2417.8445982467438,0.11462940085260609,13.8
1,16,0,33,stall,5.510790219168894e-06,324.15793168814844,318.06598513736617,318.25553581072086,2749.8297555067493,2351.7494935904892,0.11432573392317069,13.8
1,16,0,34,stall,5.3871280593072645e-06,322.22912419991445,323.6224543187518,320.7014415559115,2744.555832716832,2357.117349311602,0.1142875755655668,14.0
1,16,0,35,stall,5.2651057386273084e-06,314.85177547119036,316.78308491939333,316.1920871427526,2699.75965547743,2326.941043129972,0.11898620152586692,13.8
1,16,0,36,stall,5.14744593074218e-06,305.1949668341649,308.39672748243174,307.87120553134883,2618.774192593719,2264.5594397402724,0.11446516810386873,13.9
1,16,0,37,stall,5.048606656601906e-06,297.7579090944431,301.62022846491254,299.7601296639516,2557.6608349379094,2313.9447883334374,0.1179170765044939,14.1
1,16,0,38,stall,4.946574897361756e-06,287.1306028885954,291.683266698783,293.24882911018335,2390.7107570438484,2249.837108636667,0.11950550729879217,14.0
1,16,0,39,stall,4.847749009645569e-06,286.8656893575974,286.2661045930963,299.03034989281707,2274.3603838927556,2243.367368963109,0.11987648650743643,13.9
