N,q,split,comparator,component,unit,med,p95,mean,bias,qop_max_abs_change,qop_passthrough_max_abs_change
64,18,test,rk6_truth_vs_real_scifi_state,x,um,1269.9286840310435,12005.702236552635,3296.906744453611,-39.0585677517167,0.0,0.0
64,18,test,rk6_truth_vs_real_scifi_state,y,um,730.3814137381437,4817.166287647019,1460.9300642137061,93.48799953047588,0.0,0.0
64,18,test,rk6_truth_vs_real_scifi_state,tx,mrad,0.34881072371655,4.643161002162138,1.1860690425234515,-0.00872706446494271,0.0,0.0
64,18,test,rk6_truth_vs_real_scifi_state,ty,mrad,0.2251230917004049,1.3826840614363687,0.4282033979880854,0.04661076014106669,0.0,0.0
64,19,val,vs_rk6_endpoint,x,um,2329.7684904866856,10371.779791709803,3365.6976650021397,339.55960915838705,0.0,0.0
64,19,val,vs_rk6_endpoint,y,um,368.4803263709,2505.184141500547,798.5990817281688,-94.70967764509099,0.0,0.0
64,19,val,vs_rk6_endpoint,tx,mrad,1.2852132008946553,4.878611312134308,1.6984037015873774,-0.09083582338168307,0.0,0.0
64,19,val,vs_rk6_endpoint,ty,mrad,0.13878514312535423,0.897705841293271,0.2724046908646003,-0.03688861448876487,0.0,0.0
64,19,val,vs_real_scifi_state,x,um,3034.69773855727,16487.421078863405,5402.838353693785,292.1324358156297,0.0,0.0
64,19,val,vs_real_scifi_state,y,um,940.4376024720023,6937.688425910063,2221.615804643813,-161.19124179425208,0.0,0.0
64,19,val,vs_real_scifi_state,tx,mrad,1.476608965797821,7.3785081789940135,2.3760322788733585,-0.10175806592861882,0.0,0.0
64,19,val,vs_real_scifi_state,ty,mrad,0.28011003428701775,2.1636210882286533,0.6497345735692527,-0.011214407086550686,0.0,0.0
64,19,val,straight_line_vs_rk6_endpoint,x,um,452941.9385569637,1271615.6766418347,550215.9132434177,41618.78322767855,0.0,0.0
64,19,val,straight_line_vs_rk6_endpoint,y,um,939.8698722209815,26843.640905457592,5421.254429651422,-244.2714338410775,0.0,0.0
64,19,val,straight_line_vs_rk6_endpoint,tx,mrad,171.65128524149225,507.04651578564443,212.97744119602592,16.152241795459236,0.0,0.0
64,19,val,straight_line_vs_rk6_endpoint,ty,mrad,0.31992626243849964,14.429391014288012,2.497643817836807,0.038032989776136804,0.0,0.0
64,19,val,rk6_truth_vs_real_scifi_state,x,um,1372.6751053558246,12368.517364561547,3696.747692734388,-47.58627783002851,0.0,0.0
64,19,val,rk6_truth_vs_real_scifi_state,y,um,767.5951085464021,5835.671284375892,1918.4556712124586,-66.28849554554735,0.0,0.0
64,19,val,rk6_truth_vs_real_scifi_state,tx,mrad,0.3944228909283365,4.877535585362279,1.2899261902975303,-0.010919015564202064,0.0,0.0
64,19,val,rk6_truth_vs_real_scifi_state,ty,mrad,0.2241700032497712,1.5462122120480999,0.5447264670301872,0.025675432691703217,0.0,0.0
64,19,test,vs_rk6_endpoint,x,um,2296.2148097644504,9828.526636280585,3265.0248652189653,384.93557933785377,0.0,0.0
64,19,test,vs_rk6_endpoint,y,um,358.7657205677317,2500.280858719691,725.9802003695485,74.36949502007604,0.0,0.0
64,19,test,vs_rk6_endpoint,tx,mrad,1.2780388526232174,4.720003601490772,1.6484222151908081,-0.03817799660819192,0.0,0.0
64,19,test,vs_rk6_endpoint,ty,mrad,0.13746888196235554,0.7972290093657086,0.2607756979376301,0.018803277554277104,0.0,0.0
64,19,test,vs_real_scifi_state,x,um,2970.311767876524,15753.663389166019,4887.204314656597,346.04123732629233,0.0,0.0
64,19,test,vs_real_scifi_state,y,um,884.0411852635093,5523.961136705899,1693.6565260186942,167.8646884582905,0.0,0.0
64,19,test,vs_real_scifi_state,tx,mrad,1.4494833261604474,6.613433320638073,2.2047330118747466,-0.04690487248290359,0.0,0.0
64,19,test,vs_real_scifi_state,ty,mrad,0.28031005812843846,1.772970297206994,0.5337123301258151,0.06541054463089643,0.0,0.0
64,19,test,straight_line_vs_rk6_endpoint,x,um,450541.20897316607,1251923.9406943007,531992.5955562802,9884.314569471735,0.0,0.0
64,19,test,straight_line_vs_rk6_endpoint,y,um,893.211049591855,24433.496090929446,4831.48761598312,108.52751943555974,0.0,0.0
64,19,test,straight_line_vs_rk6_endpoint,tx,mrad,171.8266523561743,490.8245439316273,205.66065297521143,3.646110771404555,0.0,0.0
64,19,test,straight_line_vs_rk6_endpoint,ty,mrad,0.3084377832926598,11.172864866383968,2.2205866819141415,-0.061154129595571156,0.0,0.0
64,19,test,rk6_truth_vs_real_scifi_state,x,um,1269.9286840310435,12005.702236552635,3296.906744453611,-39.0585677517167,0.0,0.0
64,19,test,rk6_truth_vs_real_scifi_state,y,um,730.3814137381437,4817.166287647019,1460.9300642137061,93.48799953047588,0.0,0.0
64,19,test,rk6_truth_vs_real_scifi_state,tx,mrad,0.34881072371655,4.643161002162138,1.1860690425234515,-0.00872706446494271,0.0,0.0
