network,mode,seed,width,depth,converged,particle,n_legs,step,cum_dz_mm,p_GeV,end_err_um,slope_err_mrad
w100_data_s0,data,0,100,4,True,290,4,3,6660.0,4.232845783233643,11340.404794624703,7.648656887072863
w100_data_s0,data,0,100,4,True,295,4,0,25.0,17.402267456054688,116.26017047741755,0.044489976624539906
w100_data_s0,data,0,100,4,True,295,4,1,50.00000000000003,17.402267456054688,220.8659088375633,0.08744847491654051
w100_data_s0,data,0,100,4,True,295,4,2,75.00000000000003,17.402267456054688,313.46663181576776,0.12893558650678427
w100_data_s0,data,0,100,4,True,295,4,3,163.78200000000004,17.402267456054688,430.0052056436794,0.2111078583647702
w100_data_s0,data,0,100,4,True,347,4,0,24.999999999999986,1.7654365301132202,331.1522085440224,0.06423751421147372
w100_data_s0,data,0,100,4,True,347,4,1,49.999999999999986,1.7654365301132202,691.4347429984638,0.1363631771837126
w100_data_s0,data,0,100,4,True,347,4,2,73.718,1.7654365301132202,1078.4052865714475,0.2308817679784747
w100_data_s0,data,0,100,4,True,347,4,3,86.218,1.7654365301132202,1483.5186126815784,0.34325462679364593
w100_data_s0,data,0,100,4,True,372,4,0,13.782000000000039,44.894039154052734,29.66863560876476,0.04225152180184141
w100_data_s0,data,0,100,4,True,372,4,1,25.0,44.894039154052734,60.3347162931005,0.07778426503912
w100_data_s0,data,0,100,4,True,372,4,2,38.78200000000001,44.894039154052734,97.89228786540293,0.10815383318816922
w100_data_s0,data,0,100,4,True,372,4,3,63.78200000000001,44.894039154052734,156.58264560848113,0.13346318836487958
w100_data_s0,data,0,100,4,True,404,4,0,69.7510000000002,4.347618103027344,1034.6276377163122,0.3643140186360694
w100_data_s0,data,0,100,4,True,404,4,1,139.90099999999984,4.347618103027344,2185.343337476752,0.7635294414827798
w100_data_s0,data,0,100,4,True,404,4,2,1435.795,4.347618103027344,3643.5911674238923,2.4982823642445973
w100_data_s0,data,0,100,4,True,404,4,3,1505.946,4.347618103027344,5390.381002372351,1.669708271932413
w100_data_s0,data,0,100,4,True,432,4,0,69.81900000000041,4.439187049865723,1005.3249904906352,0.22665048293513124
w100_data_s0,data,0,100,4,True,432,4,1,209.79600000000028,4.439187049865723,1690.0168226211463,0.47947270402981523
w100_data_s0,data,0,100,4,True,432,4,2,681.9810000000007,4.439187049865723,2773.0867526115617,0.09813932331770303
w100_data_s0,data,0,100,4,True,432,4,3,751.8380000000006,4.439187049865723,3009.5776625844337,0.49680889427206054
w100_data_s0,data,0,100,4,True,455,4,0,475.2220000000016,1.0120398998260498,2249.1430067419174,3.8505700886852234
w100_data_s0,data,0,100,4,True,455,4,1,545.0250000000015,1.0120398998260498,2629.724873386124,3.378541609256658
w100_data_s0,data,0,100,4,True,455,4,2,615.228000000001,1.0120398998260498,2833.2836461370903,2.9193768018328514
w100_data_s0,data,0,100,4,True,455,4,3,685.0310000000009,1.0120398998260498,2859.7603610543842,2.4700350604119903
w100_data_s0,data,0,100,4,True,461,4,0,24.99999999999997,3.3726966381073,9.750249311636594,0.04256504012453005
w100_data_s0,data,0,100,4,True,461,4,1,49.99999999999997,3.3726966381073,28.937727953648462,0.08293400945431906
w100_data_s0,data,0,100,4,True,461,4,2,74.99999999999997,3.3726966381073,56.58955564378587,0.12125708389450554
w100_data_s0,data,0,100,4,True,461,4,3,150.0,3.3726966381073,142.26941119038727,0.16427685547777682
