network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w100_physics_s6,physics,6,100,4,True,test,6,853,8090.0741853075715,81554.35501559786,3.0369800145704504,8330.801
w100_physics_s7,physics,7,100,4,True,val,0,4551,251.37756354786234,4768.880692825238,0.17020345133537906,55.0
w100_physics_s7,physics,7,100,4,True,val,1,4551,1023.2645515807021,15131.169022862196,0.5967875366117009,373.71799999999996
w100_physics_s7,physics,7,100,4,True,val,2,4551,1721.6656417947718,33239.70451057033,1.0187833207749921,821.8929999999991
w100_physics_s7,physics,7,100,4,True,val,3,4551,2803.432906819978,40998.537379666115,1.4001260229815662,2099.987
w100_physics_s7,physics,7,100,4,True,val,4,2932,6235.083641677107,68887.65737923725,1.9226235742860511,6281.1775
w100_physics_s7,physics,7,100,4,True,val,5,1524,11078.183272509925,95213.76077967,2.545910565239409,7759.312
w100_physics_s7,physics,7,100,4,True,val,6,856,13696.868789875069,97420.16431403511,2.610324942387058,8181.928
w100_physics_s7,physics,7,100,4,True,test,0,4563,247.97052667122443,5369.4555318501125,0.1673620593247195,69.21399999999994
w100_physics_s7,physics,7,100,4,True,test,1,4563,950.9261651963357,13934.44911670558,0.5952493234471119,335.087
w100_physics_s7,physics,7,100,4,True,test,2,4563,1622.4301853164889,31461.152156495733,0.9730360844844022,752.393
w100_physics_s7,physics,7,100,4,True,test,3,4563,2580.49836395897,40409.417898527776,1.3949407901058115,1994.9869999999999
w100_physics_s7,physics,7,100,4,True,test,4,2914,5832.254343832915,70356.38667775366,1.9297530586897607,6269.4015
w100_physics_s7,physics,7,100,4,True,test,5,1481,11348.152207449175,122255.12231595599,2.50375652698101,7783.540000000001
w100_physics_s7,physics,7,100,4,True,test,6,853,12698.45783067089,108128.9548367281,2.4867743749581175,8330.801
w100_physics_s8,physics,8,100,4,True,val,0,4551,218.24018823040436,4252.534881632528,0.1209217936652962,55.0
w100_physics_s8,physics,8,100,4,True,val,1,4551,744.1592866570659,10438.568225360275,0.45038618858479934,373.71799999999996
w100_physics_s8,physics,8,100,4,True,val,2,4551,1378.460556171035,23582.449732126406,0.7775783236821376,821.8929999999991
w100_physics_s8,physics,8,100,4,True,val,3,4551,2190.0013001895786,29563.195221774382,1.2040211093361786,2099.987
w100_physics_s8,physics,8,100,4,True,val,4,2932,4503.855121507172,50389.334015909015,1.8398413671121012,6281.1775
w100_physics_s8,physics,8,100,4,True,val,5,1524,7883.900882204116,80766.2655526524,2.7889886308094907,7759.312
w100_physics_s8,physics,8,100,4,True,val,6,856,9225.776017018972,78863.55952912163,3.0425661546519542,8181.928
w100_physics_s8,physics,8,100,4,True,test,0,4563,225.47079312362328,4412.857847404123,0.12045220263516565,69.21399999999994
w100_physics_s8,physics,8,100,4,True,test,1,4563,710.7358993733426,10149.199137333855,0.4204647870379302,335.087
w100_physics_s8,physics,8,100,4,True,test,2,4563,1295.5469705741507,23412.725934123548,0.7641161683234754,752.393
w100_physics_s8,physics,8,100,4,True,test,3,4563,2054.3660738398157,29960.326983750707,1.0841719701533,1994.9869999999999
w100_physics_s8,physics,8,100,4,True,test,4,2914,4160.570124780797,49864.562653794615,1.6910036232428842,6269.4015
w100_physics_s8,physics,8,100,4,True,test,5,1481,7176.9194760456685,98842.61010946352,2.9129765890496606,7783.540000000001
w100_physics_s8,physics,8,100,4,True,test,6,853,7918.79462486537,71962.76742069132,2.9350525242640146,8330.801
w100_physics_s9,physics,9,100,4,True,val,0,4551,276.4680590546034,5381.597081896672,0.17783440385586713,55.0
w100_physics_s9,physics,9,100,4,True,val,1,4551,895.9197435502126,12069.306323889094,0.48965795970076775,373.71799999999996
w100_physics_s9,physics,9,100,4,True,val,2,4551,1498.7525189975058,24996.182311444343,0.8454583776391078,821.8929999999991
w100_physics_s9,physics,9,100,4,True,val,3,4551,2391.0766639212397,32446.933611619344,1.1898017724377845,2099.987
w100_physics_s9,physics,9,100,4,True,val,4,2932,5104.72188366759,60491.16397691804,1.7512938908381404,6281.1775
w100_physics_s9,physics,9,100,4,True,val,5,1524,9229.416726770494,103962.79639005433,2.538201004661853,7759.312
w100_physics_s9,physics,9,100,4,True,val,6,856,10297.73149553094,135509.0800577259,2.7028700573952724,8181.928
