arm,network,mode,seed,width,depth,converged,particle,n_legs,step,cum_dz_mm,p_GeV,end_err_um,slope_err_mrad
residual,residual_w100_data_s0,data,0,100,4,True,1218,4,0,69.80400000000009,37.059146881103516,0.002634047149285834,0.00012756093056842666
residual,residual_w100_data_s0,data,0,100,4,True,1218,4,1,542.0259999999998,37.059146881103516,0.9283256022172282,0.0007189793837306113
residual,residual_w100_data_s0,data,0,100,4,True,1218,4,2,1296.8649999999998,37.059146881103516,13.4163695023517,0.015542473329979711
residual,residual_w100_data_s0,data,0,100,4,True,1218,4,3,1367.0689999999995,37.059146881103516,14.506001777164101,0.015506778373870767
residual,residual_w100_data_s0,data,0,100,4,True,1229,4,0,25.00000000000003,3.5500495433807373,0.0002464974890870053,1.4248888423329387e-05
residual,residual_w100_data_s0,data,0,100,4,True,1229,4,1,50.00000000000003,3.5500495433807373,0.0007983003857958693,2.3237375981755015e-05
residual,residual_w100_data_s0,data,0,100,4,True,1229,4,2,251.282,3.5500495433807373,0.1899846176121045,0.0017439029926860639
residual,residual_w100_data_s0,data,0,100,4,True,1229,4,3,276.28200000000004,3.5500495433807373,0.19790148545562047,0.0016961731269804492
residual,residual_w100_data_s0,data,0,100,4,True,1251,4,0,70.3169999999991,2.70402193069458,2.589855286146303,0.07649644823090607
residual,residual_w100_data_s0,data,0,100,4,True,1251,4,1,616.2160000000003,2.70402193069458,243.84507337737205,0.8824569837124624
residual,residual_w100_data_s0,data,0,100,4,True,1251,4,2,686.1319999999996,2.70402193069458,308.7966060953704,0.9729499268655573
residual,residual_w100_data_s0,data,0,100,4,True,1251,4,3,756.4489999999987,2.70402193069458,380.4552350181325,1.062226937610475
residual,residual_w100_data_s0,data,0,100,4,True,1253,4,0,472.183,2.4113831520080566,6.986417630514552,0.016149982636787935
residual,residual_w100_data_s0,data,0,100,4,True,1253,4,1,612.1799999999994,2.4113831520080566,8.860358442007055,0.016216396065305005
residual,residual_w100_data_s0,data,0,100,4,True,1253,4,2,681.9780000000001,2.4113831520080566,10.049305567235933,0.018328762989350267
residual,residual_w100_data_s0,data,0,100,4,True,1253,4,3,1157.159999999999,2.4113831520080566,18.05138763643299,0.03186532071275047
residual,residual_w100_data_s0,data,0,100,4,True,1262,4,0,40.0,1.4952605962753296,0.09577769873203579,0.003834160810761711
residual,residual_w100_data_s0,data,0,100,4,True,1262,4,1,265.0,1.4952605962753296,6.740448460732296,0.04896085411829065
residual,residual_w100_data_s0,data,0,100,4,True,1262,4,2,271.308,1.4952605962753296,6.78822991716288,0.0021801783250396944
residual,residual_w100_data_s0,data,0,100,4,True,1262,4,3,326.308,1.4952605962753296,6.474486505453569,0.010163980311742038
residual,residual_w100_data_s0,data,0,100,4,True,1270,4,0,50.0,1.0814701318740845,0.033961202806409574,0.0021585329646189866
residual,residual_w100_data_s0,data,0,100,4,True,1270,4,1,1739.987,1.0814701318740845,238.30997434360768,1.115702201487729
residual,residual_w100_data_s0,data,0,100,4,True,1270,4,2,1964.987,1.0814701318740845,483.79897383526327,1.0622760023176574
residual,residual_w100_data_s0,data,0,100,4,True,1270,4,3,2019.987,1.0814701318740845,541.8882625264843,1.046326795377618
residual,residual_w100_data_s0,data,0,100,4,True,1305,4,0,2258.705,2.0530576705932617,310.8501342913428,0.4109789402390873
residual,residual_w100_data_s0,data,0,100,4,True,1305,4,1,2313.705,2.0530576705932617,332.55460427733397,0.38011008090363396
residual,residual_w100_data_s0,data,0,100,4,True,1305,4,2,2530.013,2.0530576705932617,384.9272908682906,0.11050366514409049
residual,residual_w100_data_s0,data,0,100,4,True,1305,4,3,2585.013,2.0530576705932617,391.00379831290866,0.11674416027324108
residual,residual_w100_data_s0,data,0,100,4,True,1350,4,0,69.80099999999948,4.3252387046813965,0.014943346059226315,0.0001242957962666047
residual,residual_w100_data_s0,data,0,100,4,True,1350,4,1,685.0019999999986,4.3252387046813965,15.715059269837184,0.0753008977423808
residual,residual_w100_data_s0,data,0,100,4,True,1350,4,2,754.8029999999999,4.3252387046813965,20.975409669290457,0.07547115452224973
residual,residual_w100_data_s0,data,0,100,4,True,1350,4,3,825.0029999999988,4.3252387046813965,26.27671167783774,0.07568834766660815
residual,residual_w100_data_s0,data,0,100,4,True,1366,4,0,24.99999999999997,4.9737653732299805,0.0005980181363440806,3.3448485092790747e-06
residual,residual_w100_data_s0,data,0,100,4,True,1366,4,1,49.99999999999997,4.9737653732299805,0.0011417937768598563,2.9642315130251617e-06
