restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
328,14,3,train,2.0806529144038804e-09,1.8582702690729272e-09,0.10688118320525708,480618364.1092806,1,200,214,0,81.32
329,14,4,train,1.8582702690729272e-09,1.6386001714348056e-09,0.11821213592773716,480618364.1092806,0,200,211,0,80.75
330,14,5,train,1.6386001714348056e-09,1.4273975220805782e-09,0.12889211964947633,480618364.1092806,0,200,212,0,79.85
331,14,6,train,1.4273975220805782e-09,1.3057314227890745e-09,0.08523631112527288,480618364.1092806,0,200,222,0,82.27
332,14,7,train,1.3057314227890745e-09,1.2094190321302978e-09,0.07376125670090031,480618364.1092806,0,200,213,0,78.63
333,14,8,train,1.2094190321302978e-09,1.1326987513885615e-09,0.06343564860774473,480618364.1092806,0,200,214,0,78.94
334,14,9,train,1.1326987513885615e-09,1.0732661569995258e-09,0.05246990368460985,480618364.1092806,0,200,218,0,77.57
335,14,10,train,1.0732661569995258e-09,1.0140345239829406e-09,0.05518820530237908,480618364.1092806,0,200,219,0,75.66
336,14,11,train,1.0140345239829406e-09,9.64163913207603e-10,0.04918038744820532,480618364.1092806,0,200,218,0,74.61
337,14,12,train,9.64163913207603e-10,9.244197013698265e-10,0.04122142645388439,480618364.1092806,0,200,217,0,74.38
338,14,13,train,9.244197013698265e-10,8.887693336650437e-10,0.0385651318897199,480618364.1092806,0,200,217,0,74.38
339,14,14,train,8.887693336650437e-10,8.566445183230914e-10,0.036145278786204556,480618364.1092806,0,200,215,0,73.58
340,14,15,train,8.566445183230914e-10,8.255370153669409e-10,0.0363131991050902,480618364.1092806,0,200,220,0,75.38
341,14,16,train,8.255370153669409e-10,7.975651354518125e-10,0.03388325343921166,480618364.1092806,0,200,216,0,73.88
342,14,17,train,7.975651354518125e-10,7.697552779695669e-10,0.03486844678396275,480618364.1092806,0,200,219,0,74.86
343,14,18,train,7.697552779695669e-10,7.421920916202734e-10,0.03580772634907898,480618364.1092806,0,200,215,0,73.34
344,14,19,train,7.421920916202734e-10,7.183552570747668e-10,0.032116799430547155,480618364.1092806,0,200,211,0,71.93
345,14,20,train,7.183552570747668e-10,6.979715912634704e-10,0.02837546688848816,480618364.1092806,0,200,219,0,74.71
346,14,21,train,6.979715912634704e-10,6.784374401730789e-10,0.02798702889186461,480618364.1092806,0,200,214,0,73.14
347,14,22,train,6.784374401730789e-10,6.579162956870531e-10,0.030247659210539138,480618364.1092806,0,200,218,0,74.29
348,14,23,train,6.579162956870531e-10,6.404069535990266e-10,0.02661332786983448,480618364.1092806,0,200,215,0,73.41
349,14,24,train,6.404069535990266e-10,6.252135203355042e-10,0.023724653797303027,480618364.1092806,0,200,213,0,72.48
350,15,0,train,2.9846990884516246e-08,4.2361016663295255e-09,0.8580727389665571,33504215.010122545,1,200,215,0,72.77
351,15,1,train,4.2361016663295255e-09,2.9685141764788097e-09,0.29923443526534815,33504215.010122545,0,200,212,0,71.99
352,15,2,train,2.9685141764788097e-09,2.5631059686237132e-09,0.1365694026551638,336868864.53955877,1,200,211,0,71.31
353,15,3,train,2.5631059686237132e-09,2.1646513887423304e-09,0.15545770824892474,336868864.53955877,0,200,215,0,73.2
354,15,4,train,2.1646513887423304e-09,1.911871802729095e-09,0.11677611800581938,336868864.53955877,0,200,212,0,76.76
355,15,5,train,1.911871802729095e-09,1.7630549776102633e-09,0.07783828649306077,336868864.53955877,0,200,215,0,72.82
356,15,6,train,1.7630549776102633e-09,1.6400358339527002e-09,0.06977612452239558,336868864.53955877,0,200,214,0,75.02
357,15,7,train,1.6400358339527002e-09,1.5327273341653755e-09,0.06543058240910335,336868864.53955877,0,200,216,0,73.64
358,15,8,train,1.5327273341653755e-09,1.4436243722348413e-09,0.05813360272527142,336868864.53955877,0,200,217,0,74.44
359,15,9,train,1.4436243722348413e-09,1.36188128830637e-09,0.05662351336028406,336868864.53955877,0,200,218,0,74.54
360,15,10,train,1.36188128830637e-09,1.2947465224621179e-09,0.049295607789531105,336868864.53955877,0,200,217,0,74.04
361,15,11,train,1.2947465224621179e-09,1.2348007332174783e-09,0.04629924715352422,336868864.53955877,0,200,215,0,73.44
362,15,12,train,1.2348007332174783e-09,1.1782922368287733e-09,0.04576325140451021,336868864.53955877,0,200,212,0,71.79
363,15,13,train,1.1782922368287733e-09,1.129093882776279e-09,0.04175394907540546,336868864.53955877,0,200,216,0,73.08
364,15,14,train,1.129093882776279e-09,1.0800627303165015e-09,0.04342522194807848,336868864.53955877,0,200,215,0,72.83
365,15,15,train,1.0800627303165015e-09,1.0377911160244112e-09,0.039138110320409855,336868864.53955877,0,200,217,0,73.33
366,15,16,train,1.0377911160244112e-09,9.981623241218608e-10,0.03818571125792734,336868864.53955877,0,200,216,0,73.12
367,15,17,train,9.981623241218608e-10,9.582231549471387e-10,0.040012699547499773,336868864.53955877,0,200,221,0,74.74
368,15,18,train,9.582231549471387e-10,9.234242557113396e-10,0.03631607006795704,336868864.53955877,0,200,212,0,72.45
369,15,19,train,9.234242557113396e-10,8.866050215212725e-10,0.03987250060017563,336868864.53955877,0,200,214,0,71.05
370,15,20,train,8.866050215212725e-10,8.529107022934015e-10,0.03800375410693807,336868864.53955877,0,200,214,0,70.71
371,15,21,train,8.529107022934015e-10,8.230137797210987e-10,0.03505281677426793,336868864.53955877,0,200,211,0,69.72
372,15,22,train,8.230137797210987e-10,7.967129599689303e-10,0.0319567185874837,336868864.53955877,0,200,217,0,71.54
373,15,23,train,7.967129599689303e-10,7.707612719245876e-10,0.03257344783917499,336868864.53955877,0,200,214,0,70.82
374,15,24,train,7.707612719245876e-10,7.470674380772064e-10,0.03074082042059245,336868864.53955877,0,200,212,0,69.91
375,16,0,train,2.9126673762286925e-08,3.639896907449872e-09,0.8750321805656095,34332790.903669715,1,200,219,0,70.73
376,16,1,train,3.639896907449872e-09,2.783378536833903e-09,0.2353139092656472,34332790.903669715,0,200,214,0,68.78
377,16,2,train,2.783378536833903e-09,2.5044232603746e-09,0.10022182493963439,359275602.21021944,1,200,215,0,68.72
378,16,3,train,2.5044232603746e-09,2.17313281150453e-09,0.1322821322225369,359275602.21021944,0,200,212,0,70.16
379,16,4,train,2.17313281150453e-09,1.9534039648469605e-09,0.10111155907928343,359275602.21021944,0,200,214,0,69.01
380,16,5,train,1.9534039648469605e-09,1.8051338925382938e-09,0.07590343573418667,359275602.21021944,0,200,213,0,68.47
381,16,6,train,1.8051338925382938e-09,1.6644231546144168e-09,0.07795030524080195,359275602.21021944,0,200,212,0,68.18
382,16,7,train,1.6644231546144168e-09,1.546136601071943e-09,0.07106759673135897,359275602.21021944,0,200,214,0,68.78
383,16,8,train,1.546136601071943e-09,1.4422341184692165e-09,0.0672013601713397,359275602.21021944,0,200,212,0,68.12
384,16,9,train,1.4422341184692165e-09,1.3457933618675152e-09,0.066869002311541,359275602.21021944,0,200,214,0,70.49
385,16,10,train,1.3457933618675152e-09,1.2588191806132848e-09,0.06462669806421026,359275602.21021944,0,200,219,0,70.19
386,16,11,train,1.2588191806132848e-09,1.1819859477824983e-09,0.06103595656474992,359275602.21021944,0,200,213,0,68.46
387,16,12,train,1.1819859477824983e-09,1.110608963619921e-09,0.060387337342280925,359275602.21021944,0,200,213,0,68.61
388,16,13,train,1.110608963619921e-09,1.0589240194541754e-09,0.04653748156082184,359275602.21021944,0,200,221,0,70.82
389,16,14,train,1.0589240194541754e-09,1.010940335874391e-09,0.04531362278902464,359275602.21021944,0,200,213,0,68.55
390,16,15,train,1.010940335874391e-09,9.62962258546365e-10,0.04745886144361673,359275602.21021944,0,200,217,0,70.33
391,16,16,train,9.62962258546365e-10,9.214326971562247e-10,0.04312688376056504,359275602.21021944,0,200,214,0,69.1
392,16,17,train,9.214326971562247e-10,8.851269084188757e-10,0.03940145476647173,359275602.21021944,0,200,219,0,71.69
393,16,18,train,8.851269084188757e-10,8.540846517438682e-10,0.03507096708929463,359275602.21021944,0,200,215,0,70.96
394,16,19,train,8.540846517438682e-10,8.187564582492999e-10,0.0413638079345359,359275602.21021944,0,200,215,0,69.18
395,16,20,train,8.187564582492999e-10,7.873083890075631e-10,0.03840955259025424,359275602.21021944,0,200,219,0,70.46
396,16,21,train,7.873083890075631e-10,7.610045700094254e-10,0.03340980404298098,359275602.21021944,0,200,220,0,70.57
397,16,22,train,7.610045700094254e-10,7.368159728229348e-10,0.03178508794788316,359275602.21021944,0,200,213,0,68.43
398,16,23,train,7.368159728229348e-10,7.123431432648157e-10,0.033214303789258645,359275602.21021944,0,200,219,0,70.32
399,16,24,train,7.123431432648157e-10,6.894596108491348e-10,0.03212431063883183,359275602.21021944,0,200,217,0,69.78
400,17,0,train,5.6004289244652516e-08,3.7406825317324176e-09,0.9332072135512444,17855775.21806481,1,200,211,0,77.0
401,17,1,train,3.7406825317324176e-09,2.73425070959657e-09,0.2690503173146158,267330892.5622382,1,200,212,0,72.67
402,17,2,train,2.73425070959657e-09,2.2281909017459365e-09,0.18508171400467557,267330892.5622382,0,200,217,0,76.25
403,17,3,train,2.2281909017459365e-09,1.9099695074899037e-09,0.1428160369951628,267330892.5622382,0,200,213,0,72.16
404,17,4,train,1.9099695074899037e-09,1.7031607227663168e-09,0.10827857927186314,267330892.5622382,0,200,223,0,89.3
405,17,5,train,1.7031607227663168e-09,1.5546650016825904e-09,0.08718831939861545,267330892.5622382,0,200,215,0,88.63
406,17,6,train,1.5546650016825904e-09,1.4424910054997104e-09,0.07215316229636339,267330892.5622382,0,200,212,0,72.92
