leg,q,p_GeV,dz_mm,converged,n_evals,residual,err_x_mm,err_y_mm,err_tx,err_ty,wall_s
A,8,15.220085144042969,-606.4361910820007,1,81,4.2012834183813297e-16,4.225287685721835e-05,4.436651717731888e-06,1.195230908707795e-07,5.73289644575925e-09,0.03181576728820801
A,8,1.348832368850708,-2242.0462646484375,1,41,2.842170943040401e-14,0.04469653470351531,0.008683923707514474,2.6840192101765248e-05,9.642648387736541e-06,0.016040802001953125
A,8,1.4721050262451172,-15.454002380371094,1,39,1.9701986353135026e-14,1.200095578468563e-11,2.624803152606603e-12,3.167793805047836e-11,6.86789514148245e-12,0.015303373336791992
A,8,1.7380659580230713,-323.7021026611328,1,82,1.1926223897340549e-15,2.915132585656899e-06,2.9050924065521233e-06,1.8271109705064736e-08,1.4283192767416963e-08,0.03194069862365723
A,8,6.239363670349121,-49.51180171966553,1,39,1.3568028520748049e-14,2.8498866266879475e-08,2.7994372375772514e-09,7.333889051608367e-10,7.636555277024115e-11,0.015171527862548828
A,8,10.724223136901855,-157.31089401245117,1,41,2.909346415581708e-15,5.742928379515178e-07,8.082062796788136e-10,4.267406205314683e-09,3.284987559748487e-11,0.015935182571411133
A,8,43.24116897583008,-194.49989318847656,1,41,1.6135977645194421e-15,2.1211624873229695e-07,5.231742407352247e-09,2.469896759338397e-09,1.0704453816401394e-10,0.016056060791015625
A,8,1.6027175188064575,-20.224000930786133,1,39,5.383741412748333e-14,1.3705703238997557e-13,2.0503043707265078e-13,0.0,5.551115123125783e-17,0.015149593353271484
A,8,2.5881831645965576,-2367.2904357910156,1,41,4.547473508864641e-13,0.042999341839959015,0.0017377024551024078,4.811257062198315e-06,5.057366007074626e-06,0.015943288803100586
A,8,1.2273989915847778,-24.018701553344727,1,39,2.7464196281773434e-14,1.1375678177216741e-10,6.477900438284223e-10,4.5800085946012814e-11,1.2838291540973046e-10,0.015280485153198242
A,8,12.66734504699707,-99.77239990234375,1,39,6.479352060242169e-15,5.7608601777836554e-08,4.016188881461602e-09,1.138847325471426e-09,7.918725397626503e-11,0.01514577865600586
A,16,8.055789947509766,-105.38589859008789,1,73,3.4326539583072555e-15,1.9431386444335175e-08,9.71459440668454e-11,2.2834713633845816e-10,1.1496983920444848e-12,0.02935624122619629
A,16,3.6785106658935547,-7827.635303914547,1,78,3.410605131648481e-13,0.16469459719707302,0.009422814093909437,3.635008270922238e-05,5.466003505302797e-06,0.03142523765563965
A,16,1.1132805347442627,-19.135299682617188,1,71,2.6346112791397758e-14,9.43201072800548e-12,2.2086776851892864e-11,7.732148255001903e-13,1.2365664048274994e-12,0.028243064880371094
A,16,4.457874298095703,-282.16429138183594,1,144,1.6847485320888034e-15,3.690606406592245e-07,3.9039516866457014e-07,1.4851099430085446e-09,2.2852784248295066e-09,0.057300567626953125
A,16,2.029374837875366,-36.79439830780029,1,71,1.2974850686041373e-14,8.297584841443495e-12,6.5530914028499865e-12,3.4541813853650183e-12,3.0181690480191037e-12,0.028896331787109375
A,16,199.90037536621094,-398.76099395751953,1,139,1.7247873824588201e-15,5.364841676458454e-08,7.258966913670228e-09,1.2261477250197217e-10,2.387461409125713e-11,0.05557894706726074
A,16,7.07179069519043,-2293.2232627868652,1,75,7.105427357601002e-15,0.0006456107713566084,2.3378376617699814e-05,7.382796755259213e-07,6.277774344809472e-08,0.030037641525268555
A,16,1.0006492137908936,-45.39060020446777,1,72,1.3525422101756668e-14,1.759703494030873e-14,2.200323256928982e-14,0.0,0.0,0.028732776641845703
A,16,3.069549083709717,-9143.742893218994,1,79,4.547473508864641e-13,1.436248881092979,0.005060314488609663,0.00036562007602158886,5.238203358548174e-06,0.03201937675476074
A,16,2.82137393951416,-2272.0743370056152,1,142,2.842170943040401e-14,0.006821175647533373,0.009060646702100161,5.4225557348658304e-06,1.0447539853380983e-05,0.05703377723693848
A,16,30.44393539428711,-298.4199905395508,1,140,1.597623252529818e-15,1.2770475994738906e-07,1.702729976460482e-08,9.136663206609288e-10,1.1429584362288026e-10,0.05593585968017578
A,16,4.036323547363281,-8592.99785232544,1,77,2.7755575615628914e-12,0.8143034734566754,0.0022629637384667944,0.00024834937763168474,3.174638371740337e-06,0.031050443649291992
A,16,4.9447922706604,-29.954798698425293,1,71,2.7743717154367353e-14,5.576428208087236e-12,8.001280193958848e-12,6.509792704889605e-13,9.387698951535128e-13,0.028438329696655273
A,16,1.874666690826416,-38.47639846801758,1,72,2.728801342874454e-14,3.21065396491349e-12,2.2985391368024466e-11,1.0659251259426128e-12,7.619571640304912e-12,0.028670549392700195
A,16,5.519657135009766,-2288.9615364074707,1,215,3.552713678800501e-15,0.0020558487704391837,2.8838796139574185e-05,4.629571086420259e-07,9.868696947828992e-08,0.0858151912689209
A,16,3.3514626026153564,-48.355200588703156,1,71,1.324637768519558e-14,4.996003610813204e-16,1.2212453270876722e-15,0.0,2.7755575615628914e-17,0.02816009521484375
A,16,9.218462944030762,-2299.312364578247,1,72,1.7053025658242404e-13,0.0010834546082776342,8.264467020291377e-05,2.1109524761531162e-07,1.0993263763192651e-07,0.02893209457397461
A,16,23.26853370666504,-284.03039169311523,1,141,1.5517643593698782e-15,1.7280069597447323e-09,5.579501860530911e-09,1.0268169682581263e-09,8.658236801128982e-11,0.05622386932373047
A,16,2.2048487663269043,-9166.832578659058,1,80,6.821210263296962e-13,1.0341060700739035,0.05070407964149126,7.984566372987167e-05,2.857818089507802e-06,0.03222465515136719
A,16,18.49923324584961,-647.6951904296875,1,72,1.6936423780349735e-15,3.3665071261790303e-06,1.5112161368055488e-06,5.313706837387078e-09,3.3592949359728674e-09,0.02872467041015625
A,16,2.3891072273254395,-7862.165752410889,1,151,1.1368683772161603e-13,0.4791718307331507,0.011650491579871414,0.00012846599999757902,2.1831277601663812e-07,0.06087136268615723
A,16,15.220085144042969,-606.4361910820007,1,145,5.692061405548898e-16,7.703782116563751e-06,1.2332302283257768e-06,2.016231747965086e-08,2.792903228999999e-09,0.05823349952697754
A,16,1.348832368850708,-2242.0462646484375,1,73,8.526512829121202e-14,0.00717356566977756,0.0020671211439884374,1.0759285238415295e-05,3.729313260092404e-06,0.029416322708129883
A,16,1.4721050262451172,-15.454002380371094,1,71,2.4170826303730308e-14,1.4531376102411286e-11,3.0053876054481066e-12,3.966627026841252e-11,8.413852947697364e-12,0.028566598892211914
A,16,1.7380659580230713,-323.7021026611328,1,212,1.5720931501039814e-15,1.5020572655677356e-06,5.642151962581554e-07,1.8012749139484363e-09,1.266216225620509e-09,0.08534860610961914
A,16,6.239363670349121,-49.51180171966553,1,71,1.26479758947279e-14,4.443414636234877e-09,4.173043022248635e-10,1.2083440498189546e-10,9.620138019528213e-12,0.028506040573120117
A,16,10.724223136901855,-157.31089401245117,1,139,3.2596474788305647e-15,8.343642332597767e-08,1.6173429262522632e-10,4.712122064071123e-10,1.4709906903664915e-11,0.05561518669128418
A,16,43.24116897583008,-194.49989318847656,1,74,1.6714077631695481e-15,6.622418446955436e-09,6.554234585620655e-10,2.015213447503772e-10,1.5431751362871005e-11,0.02973461151123047
A,16,1.6027175188064575,-20.224000930786133,1,71,5.3017486234541167e-14,1.3705703238997557e-13,2.0503043707265078e-13,0.0,5.551115123125783e-17,0.028357982635498047
A,16,2.5881831645965576,-2367.2904357910156,1,73,9.094947017729282e-13,0.012121407031145282,0.017850883294485698,1.0928334011284235e-05,1.8204709709000733e-05,0.02926802635192871
A,16,1.2273989915847778,-24.018701553344727,1,71,2.7578439850534358e-14,1.0902811986568395e-10,1.1913803277252555e-11,9.281464485866309e-12,2.4618640459550534e-11,0.02851724624633789
A,16,12.66734504699707,-99.77239990234375,1,71,6.799556984083896e-15,1.328077170459352e-08,9.262108302543481e-10,2.6237975854492834e-10,1.8197499063177247e-11,0.028492450714111328
