arch,mode,q,stratum,forward_um,backward_um,backward_over_forward
2x256,physics,4,0.5-2 mm,0.0007537162076687309,0.0008007178138313975,1.0623598188342587
2x256,physics,4,5-20 mm,0.07846118754173403,0.07707545036161889,0.9823385647919481
2x256,physics,4,50-200 mm,7.384391374168686,8.185486318339485,1.1084848978851671
2x256,physics,4,500-2000 mm,440.2561235543949,475.8897357965015,1.080938368226249
2x256,physics,4,full crossing,5296.994443519338,3015.0145164041933,0.5691934451796421
2x256,physics,6,0.05-0.2 mm,8.464837719657226e-06,8.417856633968768e-06,0.9944498539435248
2x256,physics,6,0.5-2 mm,0.0009081064149540907,0.0008325494604832784,0.9167972461964911
2x256,physics,6,5-20 mm,0.08603751465874332,0.0926963777700962,1.0773948798703032
2x256,physics,6,50-200 mm,9.073898680113324,9.18691755031631,1.0124553815495738
2x256,physics,6,500-2000 mm,468.5228899680851,476.3211692532394,1.0166443933735778
2x256,physics,6,full crossing,1112.0480684691643,1048.7227067790634,0.9430551938485231
2x256,physics,8,0.05-0.2 mm,8.845830734571791e-06,8.948774166128715e-06,1.0116375086349543
2x256,physics,8,0.5-2 mm,0.00092580502553119,0.0009342756470687164,1.009149465928494
2x256,physics,8,5-20 mm,0.09760637283307005,0.09155640078972738,0.9380166287534364
2x256,physics,8,50-200 mm,9.74177348322769,9.729913984742211,0.9987826140172632
2x256,physics,8,500-2000 mm,442.71820417135643,462.5724059763554,1.0448461382837428
2x256,physics,8,full crossing,928.0440784490338,992.466937388528,1.0694178869684283
2x256,physics,10,0.05-0.2 mm,8.907932169677224e-06,8.675982599015697e-06,0.9739614574692106
2x256,physics,10,0.5-2 mm,0.0010041823657047644,0.0009473246294078308,0.943379073125797
2x256,physics,10,5-20 mm,0.09487611335146084,0.09974211189245352,1.0512879203110586
2x256,physics,10,50-200 mm,9.84996745176403,9.01068690751572,0.9147935718205846
2x256,physics,10,500-2000 mm,473.6936590720404,500.4927014622957,1.0565746276670755
2x256,physics,10,full crossing,954.3185291041141,1016.95577615709,1.0656355767416335
2x256,physics,12,0.05-0.2 mm,8.89644979906734e-06,9.461587069381494e-06,1.0635239093209292
2x256,physics,12,0.5-2 mm,0.0009740779773892427,0.0008932753203794164,0.9170470343386713
2x256,physics,12,5-20 mm,0.09821969679535414,0.09451061865917154,0.9622369213385921
2x256,physics,12,50-200 mm,9.594820118937974,9.365075696631475,0.9760553695162001
2x256,physics,12,500-2000 mm,473.10897630643467,493.3330887869811,1.0427472601311356
2x256,physics,12,full crossing,917.0067822932424,1029.6274901355673,1.122813385917042
2x256,physics,14,0.05-0.2 mm,8.06014810450506e-06,8.031292964005843e-06,0.9964200235373976
2x256,physics,14,0.5-2 mm,0.000800935694655891,0.0008354620320005779,1.043107502356379
2x256,physics,14,5-20 mm,0.08258617730660944,0.08862270684306672,1.0730937032482575
2x256,physics,14,50-200 mm,7.476326272080058,10.2192461570354,1.3668807092058877
2x256,physics,14,500-2000 mm,450.51008355368793,468.88015006430805,1.0407761494830803
2x256,physics,14,full crossing,990.0833640545841,1019.2948119287948,1.0295040285846075
