N,q,plane,z_mm,step_med_um,step_p95_um,straight_line_med_um
256,16,156,5803.421875,0.054470292556857425,0.534051797169715,8.503909281522255
256,16,157,5823.647656249999,0.054580376359838714,0.5287920584638508,8.461481641818732
256,16,158,5843.8734375,0.05519624841645591,0.5333138984133562,8.419024627457144
256,16,159,5864.09921875,0.05504283486198658,0.5394029556112763,8.376542446211396
256,16,160,5884.325,0.05499161959782687,0.5336060874330296,8.334023584265216
256,16,161,5904.55078125,0.0549536844879497,0.5320089634408133,8.28985625014046
256,16,162,5924.776562499999,0.054707215334257944,0.5352863442262622,8.244349825804989
256,16,163,5945.00234375,0.05462442896319056,0.5375981984951127,8.198816356403967
256,16,164,5965.228125,0.05497495091307816,0.5382064446592438,8.153255545936258
256,16,165,5985.45390625,0.05540834628789776,0.5366927350331143,8.10760341555667
256,16,166,6005.6796875,0.05507595866097095,0.5288486106282,8.056746540494343
256,16,167,6025.905468749999,0.05465294054235671,0.53098476296835,8.00244488648215
