tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
w100_data_s2,data,2,100,4,B,7,0.9801449282487681,False,817.2650695409693,16922.493139598428,564
w100_data_s2,data,2,100,4,B,8,1.0,True,868.5317601025347,18394.825563886494,564
w100_data_s2,data,2,100,4,C,0,0.019855071751231912,False,213.4308353081016,1659.282333499869,2793
w100_data_s2,data,2,100,4,C,1,0.10166676129318664,False,173.18056694002593,1572.5655215212216,2793
w100_data_s2,data,2,100,4,C,2,0.2372337950418355,False,182.78060840559363,1486.6692594840488,2793
w100_data_s2,data,2,100,4,C,3,0.4082826787521751,False,159.64398083096398,1385.0495930837326,2793
w100_data_s2,data,2,100,4,C,4,0.5917173212478248,False,175.20731826186875,1499.6901138330263,2793
w100_data_s2,data,2,100,4,C,5,0.7627662049581645,False,183.94386760869708,1528.9829641695999,2793
w100_data_s2,data,2,100,4,C,6,0.8983332387068134,False,166.1197721695089,1650.8515775146577,2793
w100_data_s2,data,2,100,4,C,7,0.9801449282487681,False,177.31561010184294,1764.1086847295253,2793
w100_data_s2,data,2,100,4,C,8,1.0,True,178.1698996921932,1869.9057053655586,2793
w100_physics_s0,physics,0,100,4,A,0,0.019855071751231912,False,328.68069320236293,6705.906174470477,604
w100_physics_s0,physics,0,100,4,A,1,0.10166676129318664,False,298.0199410621296,5964.563599064367,604
w100_physics_s0,physics,0,100,4,A,2,0.2372337950418355,False,241.05667927546358,6490.899672489829,604
w100_physics_s0,physics,0,100,4,A,3,0.4082826787521751,False,183.67652602358976,9633.143102919334,604
w100_physics_s0,physics,0,100,4,A,4,0.5917173212478248,False,284.41076161236276,16335.182222532481,604
w100_physics_s0,physics,0,100,4,A,5,0.7627662049581645,False,337.73178905463726,20082.15491544475,604
w100_physics_s0,physics,0,100,4,A,6,0.8983332387068134,False,330.4245830427204,27076.939900955484,604
w100_physics_s0,physics,0,100,4,A,7,0.9801449282487681,False,374.6167126586334,29723.58849728982,604
w100_physics_s0,physics,0,100,4,A,8,1.0,True,375.23333908996096,32106.87265589121,604
w100_physics_s0,physics,0,100,4,B,0,0.019855071751231912,False,1045.0393489879843,7325.4792428256205,564
w100_physics_s0,physics,0,100,4,B,1,0.10166676129318664,False,822.5914848800712,5963.647671178922,564
w100_physics_s0,physics,0,100,4,B,2,0.2372337950418355,False,953.8759965235624,7440.843859299537,564
w100_physics_s0,physics,0,100,4,B,3,0.4082826787521751,False,1029.7961590477248,11160.540209498431,564
w100_physics_s0,physics,0,100,4,B,4,0.5917173212478248,False,1811.2364742784025,19647.872312734184,564
w100_physics_s0,physics,0,100,4,B,5,0.7627662049581645,False,2103.8216193512653,28874.486011970188,564
w100_physics_s0,physics,0,100,4,B,6,0.8983332387068134,False,2598.249649565389,35557.063975879944,564
w100_physics_s0,physics,0,100,4,B,7,0.9801449282487681,False,2863.612574559511,41151.73843652734,564
w100_physics_s0,physics,0,100,4,B,8,1.0,True,2876.051665120912,43842.760469137196,564
w100_physics_s0,physics,0,100,4,C,0,0.019855071751231912,False,254.69366467882537,2322.6290937067006,2793
w100_physics_s0,physics,0,100,4,C,1,0.10166676129318664,False,234.77290176872145,1904.3168865362989,2793
w100_physics_s0,physics,0,100,4,C,2,0.2372337950418355,False,231.80966271289094,1915.9093666663932,2793
w100_physics_s0,physics,0,100,4,C,3,0.4082826787521751,False,227.16788700660828,2212.6217650266753,2793
w100_physics_s0,physics,0,100,4,C,4,0.5917173212478248,False,196.16317906641711,2282.7634474527727,2793
w100_physics_s0,physics,0,100,4,C,5,0.7627662049581645,False,244.3494044275667,2228.573981371243,2793
w100_physics_s0,physics,0,100,4,C,6,0.8983332387068134,False,268.1084170112342,2476.132428877999,2793
w100_physics_s0,physics,0,100,4,C,7,0.9801449282487681,False,237.7253677274229,2637.3369046340545,2793
w100_physics_s0,physics,0,100,4,C,8,1.0,True,253.2295868861425,2756.831717095509,2793
w100_physics_s1,physics,1,100,4,A,0,0.019855071751231912,False,325.03535159218677,7264.032102150831,604
w100_physics_s1,physics,1,100,4,A,1,0.10166676129318664,False,286.9023848117736,6291.237407338472,604
w100_physics_s1,physics,1,100,4,A,2,0.2372337950418355,False,348.15200369852295,7517.439827192594,604
w100_physics_s1,physics,1,100,4,A,3,0.4082826787521751,False,273.7032703869439,13081.740870792853,604
w100_physics_s1,physics,1,100,4,A,4,0.5917173212478248,False,266.76062918841865,20831.45486973326,604
w100_physics_s1,physics,1,100,4,A,5,0.7627662049581645,False,318.2847088231374,25298.722625619444,604
w100_physics_s1,physics,1,100,4,A,6,0.8983332387068134,False,321.5425729347143,27322.896668964164,604
w100_physics_s1,physics,1,100,4,A,7,0.9801449282487681,False,364.6806199047943,30259.61679442016,604
w100_physics_s1,physics,1,100,4,A,8,1.0,True,285.55863277826,30707.04662212785,604
w100_physics_s1,physics,1,100,4,B,0,0.019855071751231912,False,1049.687016755911,9230.149482676505,564
w100_physics_s1,physics,1,100,4,B,1,0.10166676129318664,False,1089.1345989229658,7569.049338093885,564
w100_physics_s1,physics,1,100,4,B,2,0.2372337950418355,False,1078.1159006398582,8799.580731397222,564
w100_physics_s1,physics,1,100,4,B,3,0.4082826787521751,False,1339.95328497339,14180.555913589824,564
w100_physics_s1,physics,1,100,4,B,4,0.5917173212478248,False,1940.6661782391302,24938.882747256794,564
w100_physics_s1,physics,1,100,4,B,5,0.7627662049581645,False,2130.6961226504413,40705.90535742918,564
w100_physics_s1,physics,1,100,4,B,6,0.8983332387068134,False,2383.333055127281,44604.38749473872,564
w100_physics_s1,physics,1,100,4,B,7,0.9801449282487681,False,2319.3154671208163,43750.18888254158,564
w100_physics_s1,physics,1,100,4,B,8,1.0,True,2422.4780650410194,41642.84331586386,564
w100_physics_s1,physics,1,100,4,C,0,0.019855071751231912,False,282.8431488823071,2382.365580461284,2793
w100_physics_s1,physics,1,100,4,C,1,0.10166676129318664,False,208.2900044833895,2023.4903709163646,2793
w100_physics_s1,physics,1,100,4,C,2,0.2372337950418355,False,249.74740221860614,1927.0554919398298,2793
w100_physics_s1,physics,1,100,4,C,3,0.4082826787521751,False,235.638595620145,2178.3427018342018,2793
w100_physics_s1,physics,1,100,4,C,4,0.5917173212478248,False,230.0480045582063,2190.7882081643947,2793
w100_physics_s1,physics,1,100,4,C,5,0.7627662049581645,False,256.1838997730774,2539.3823450108034,2793
