arm,tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
wave1,w50_physics_s5,physics,5,50,4,True,val,A,5-20GeV,534.3212174860694,22596.302906156496,1081.384553246492,0.26417919819313856,0.12791235661354375,0.03490314627351611,11.007220319043443,184,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
wave1,w50_physics_s5,physics,5,50,4,True,val,A,20-200GeV,420.7794921100067,22216.608809532918,2310.257714262698,0.18978197111918482,0.12426320658000074,0.07115252538337749,15.481654977695825,98,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
wave1,w50_physics_s5,physics,5,50,4,True,val,A,all,948.6805311875428,70293.13497614098,1900.5794910986597,0.4384356123511707,0.21451366474982025,0.05518461702572618,15.482794052115722,632,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
wave1,w50_physics_s5,physics,5,50,4,True,val,B,1-5GeV,18041.08936697321,154648.19608085905,24052.43697728656,5.400368400993852,0.0007414330080405982,0.00017104769893948766,1181464.7237645744,219,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
wave1,w50_physics_s5,physics,5,50,4,True,val,B,5-20GeV,5858.781691579437,71488.6350089021,7207.472266989669,1.7170570632894684,0.0022118780222795693,0.00015334190835655976,360379.6349347898,268,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
wave1,w50_physics_s5,physics,5,50,4,True,val,B,20-200GeV,5081.014664184828,27874.066084999955,6270.308078684508,1.5711882619043969,0.017814541565837897,0.0007069050055227932,104397.23230693299,94,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
wave1,w50_physics_s5,physics,5,50,4,True,val,B,all,8866.99112078111,97323.62679701793,11538.363720266545,2.2914350483640016,0.004181969097970013,0.0002095079725004826,468725.43876780034,581,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
wave1,w50_physics_s5,physics,5,50,4,True,val,C,1-5GeV,824.3429266593267,6470.545444354513,1438.723076863801,0.4778099611621456,0.004383295401424621,4.0907528016282735e-05,24.01565099967229,1541,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
wave1,w50_physics_s5,physics,5,50,4,True,val,C,5-20GeV,370.9322414741614,2471.6630087676563,666.1550322379,0.154042143195178,0.0006202013308324214,7.554903305300428e-05,3.982292308535307,901,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
wave1,w50_physics_s5,physics,5,50,4,True,val,C,20-200GeV,265.2180975627713,911.5599306047175,446.79822630645185,0.06820398988506907,0.0013762880878223334,0.0001619339959593031,0.6156453043622001,314,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
