restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
770,32,10,train,1.1352849870343372e-09,1.0666282156680115e-09,0.060475362706658556,236483999.96505716,0,200,222,0,79.47
771,32,11,train,1.0666282156680115e-09,1.0074634867506236e-09,0.05546893289367373,236483999.96505716,0,200,216,0,77.95
772,32,12,train,1.0074634867506236e-09,9.529185164329363e-10,0.05414089049878268,236483999.96505716,0,200,215,0,78.52
773,32,13,train,9.529185164329363e-10,9.071345638769635e-10,0.04804603097372489,236483999.96505716,0,200,216,0,79.49
774,32,14,train,9.071345638769635e-10,8.646361573403867e-10,0.046849065429658665,236483999.96505716,0,200,222,0,80.66
775,32,15,train,8.646361573403867e-10,8.242327605829704e-10,0.04672878460426274,236483999.96505716,0,200,220,0,80.11
776,32,16,train,8.242327605829704e-10,7.848542199743001e-10,0.047775995437039226,236483999.96505716,0,200,211,0,75.54
777,32,17,train,7.848542199743001e-10,7.488618826406113e-10,0.04585862752304167,236483999.96505716,0,200,215,0,76.81
778,32,18,train,7.488618826406113e-10,7.175526139445673e-10,0.04180913653348506,236483999.96505716,0,200,218,0,79.21
779,32,19,train,7.175526139445673e-10,6.872801232185738e-10,0.042188531039665564,236483999.96505716,0,200,214,0,77.36
780,32,20,train,6.872801232185738e-10,6.610655515563595e-10,0.03814248481310636,236483999.96505716,0,200,216,0,77.66
781,32,21,train,6.610655515563595e-10,6.365009137790018e-10,0.037159155728996446,236483999.96505716,0,200,215,0,77.1
782,32,22,train,6.365009137790018e-10,6.129803913942649e-10,0.03695284936056412,236483999.96505716,0,200,224,0,80.06
783,32,23,train,6.129803913942649e-10,5.925419360946557e-10,0.03334275547235786,236483999.96505716,0,200,213,0,76.75
784,32,24,train,5.925419360946557e-10,5.740031120374275e-10,0.03128694009307505,236483999.96505716,0,200,222,0,79.49
785,33,0,train,4.578124487836155e-08,2.5006383001069433e-09,0.9453785429655526,21843005.856589295,1,200,215,0,77.33
786,33,1,train,2.5006383001069433e-09,1.783915834526023e-09,0.2866158074721437,399897898.0515629,1,200,210,0,75.7
787,33,2,train,1.783915834526023e-09,1.4530359943676372e-09,0.18547951296497056,399897898.0515629,0,200,208,0,75.68
788,33,3,train,1.4530359943676372e-09,1.2631535205558628e-09,0.13067981422883573,399897898.0515629,0,200,208,0,75.2
789,33,4,train,1.2631535205558628e-09,1.1434365371947024e-09,0.09477627336103832,399897898.0515629,0,200,220,0,79.2
790,33,5,train,1.1434365371947024e-09,1.0449841479773388e-09,0.0861021893343603,399897898.0515629,0,200,223,0,80.52
791,33,6,train,1.0449841479773388e-09,9.769104852695772e-10,0.06514324914834767,399897898.0515629,0,200,216,0,78.1
792,33,7,train,9.769104852695772e-10,9.182551578517287e-10,0.060041660215841265,399897898.0515629,0,200,218,0,78.69
793,33,8,train,9.182551578517287e-10,8.751274205405989e-10,0.046967051524140366,399897898.0515629,0,200,215,0,78.09
794,33,9,train,8.751274205405989e-10,8.332796262406609e-10,0.047819087046874834,399897898.0515629,0,200,215,0,77.8
795,33,10,train,8.332796262406609e-10,7.965310990935946e-10,0.044101074825094705,399897898.0515629,0,200,222,0,79.52
796,33,11,train,7.965310990935946e-10,7.640740081105296e-10,0.04074805242381521,399897898.0515629,0,200,221,0,79.74
