tag,width,depth,q,mode,seed,n_train,n_parameters,converged,restarts,final_loss,wall_s,val_median_um,val_p95_um,val_stage_um,val_slope_mrad,val_rho,val_straight_um,test_median_um,test_p95_um,test_stage_um,test_slope_mrad,test_rho,test_straight_um
w128_d2_q04_physics_s2,128,2,4,physics,2,4002,20116,True,54,1.0907075369180848e-06,695.9,1.425253873307497,7080.8244719237055,1.4950070839461205,0.19077382666577575,3.517363291138421e-11,11.660928643891566,1.5019666297035883,7175.2624513897545,1.5083932760537877,0.20310752099242033,4.2033191380961103e-11,12.07131072872647
w128_d2_q06_data_s0,128,2,6,data,0,4002,21148,True,141,0.00017606782229259002,1955.1,0.19602458040424153,9453.774306914433,0.19753882132533818,0.053955953841246934,1.1049291918417193e-12,11.660928643891566,0.20121521455962466,9648.176311454627,0.1958467129412611,0.05560305636573282,1.1363202240482353e-12,12.07131072872647
w128_d2_q06_data_s1,128,2,6,data,1,4002,21148,True,165,9.78073130880941e-05,2422.4,0.1602567931868748,8791.07732012322,0.1684126002174935,0.0870985981847941,1.3854918035869413e-12,11.660928643891566,0.1572156645721634,9750.247437157754,0.15668080330044631,0.092361526030732,1.4742322228289889e-12,12.07131072872647
w128_d2_q06_data_s2,128,2,6,data,2,4002,21148,True,166,0.00012093158700244253,2382.7,0.18929299262282484,8703.235845027824,0.18358044093247372,0.06721535485164874,1.306794443984123e-12,11.660928643891566,0.1775577538012385,8594.541521371757,0.17369044538284584,0.07258644993960503,1.2701573060936879e-12,12.07131072872647
w128_d2_q06_physics_s0,128,2,6,physics,0,4002,21148,True,47,1.0939965661880672e-06,670.1,0.8999017926498709,2799.213230297807,1.5310441537685904,0.1371349477860811,1.8823145077789195e-11,11.660928643891566,0.8935532309095606,2816.2032735551475,1.4558344107822307,0.1430120632445464,1.905302055312997e-11,12.07131072872647
w128_d2_q06_physics_s1,128,2,6,physics,1,4002,21148,True,44,1.4155948255504092e-06,742.3,1.4327355822629784,2975.60661939042,1.455808029291461,0.1429967587069994,2.8911485051205405e-11,11.660928643891566,1.2779141393934879,2808.40352343056,1.3383413051357707,0.14950340614037788,2.426046358471484e-11,12.07131072872647
w128_d2_q06_physics_s2,128,2,6,physics,2,4002,21148,True,53,1.014736801446072e-06,904.3,1.0138411400397729,2683.442576894833,1.102994204757124,0.1424085468525807,1.8185940334379293e-11,11.660928643891566,1.0020267498163093,2750.2969752461336,1.0292478632898394,0.1440930041265824,2.006554821476862e-11,12.07131072872647
w128_d2_q08_data_s0,128,2,8,data,0,4002,22180,True,153,0.00012032063468020259,2299.9,0.1855975861460024,8805.43304199261,0.19219371503709226,0.08370303057554651,1.5225661092157388e-12,11.660928643891566,0.18551220401619162,8564.393963862636,0.1921559774142878,0.09041216941439029,1.5018237335684979e-12,12.07131072872647
w128_d2_q08_data_s1,128,2,8,data,1,4002,22180,True,150,0.00016161784549998537,1837.2,0.17140887998579046,9665.138703680987,0.1824051387018244,0.054400020155883494,9.774988207180418e-13,11.660928643891566,0.1740046067695289,9692.511108481014,0.1831958875015971,0.0552753006034315,1.0243129383365462e-12,12.07131072872647
w128_d2_q08_data_s2,128,2,8,data,2,4002,22180,True,176,0.0001856143971906901,1916.2,0.2161451325264352,11091.511612445667,0.21823071377014003,0.05573963975267007,1.6427926097619684e-12,11.660928643891566,0.2214049218203229,11137.50987801572,0.22147578377484933,0.05768228596596259,1.44397245286894e-12,12.07131072872647
w128_d2_q08_physics_s0,128,2,8,physics,0,4002,22180,True,45,1.1141482853232339e-06,864.8,1.398195901110455,2398.427351575955,1.3850890251667636,0.141686635363035,3.129301588318037e-11,11.660928643891566,1.31697336888692,2338.529318725146,1.4475059757330655,0.14980181143390908,3.4293838686066745e-11,12.07131072872647
w128_d2_q08_physics_s1,128,2,8,physics,1,4002,22180,True,50,1.0168970288784775e-06,878.8,1.3023247028201013,2633.8696658564213,1.4446923325230898,0.13609766948584692,2.5375524243861877e-11,11.660928643891566,1.2002866905191922,2553.0454007070466,1.4071900155563366,0.13948647796236358,2.4221655672601055e-11,12.07131072872647
w128_d2_q08_physics_s2,128,2,8,physics,2,4002,22180,True,45,1.1879391829189172e-06,944.9,0.9784158125967224,2959.531333936436,1.2417736179948236,0.14095438963019138,1.6219689214101282e-11,11.660928643891566,0.8169733910321497,2777.45984233579,1.2340402381312288,0.14771397822134838,1.627755449185269e-11,12.07131072872647
w128_d2_q10_data_s0,128,2,10,data,0,4002,23212,True,121,0.00023984621779118056,1294.4,0.27071520477761624,11348.218583687252,0.28225507673784733,0.053556465965332034,1.569447801423385e-12,11.660928643891566,0.2636671584355099,11615.560668322158,0.2784806447380106,0.05397272697313382,1.5569857658046748e-12,12.07131072872647
