arch,mode,column,component,unit,median_abs,p95_abs,bias_over_rms,bias_over_median,p95_over_median,n_cells
2x64,physics,100 mm,y,um,4072.05,39277.7,0.098593,0.476435,10.0812,30
2x64,physics,1000 mm,max_xy,um,3797.08,34366.1,nan,nan,8.97579,30
2x64,physics,1000 mm,tx,mrad,1.39008,15.1243,0.042726,0.237972,11.0491,30
2x64,physics,1000 mm,ty,mrad,0.507051,6.81106,0.0649203,0.483296,13.8976,30
2x64,physics,1000 mm,x,um,3462.31,32278.3,0.0345405,0.219235,9.54755,30
2x64,physics,1000 mm,y,um,1234.22,14883.2,0.0998265,0.596407,12.558,30
2x64,physics,full crossing,max_xy,um,1048.25,12702.6,nan,nan,11.0713,30
2x64,physics,full crossing,tx,mrad,0.25491,3.49844,0.0304532,0.231496,13.1482,30
2x64,physics,full crossing,ty,mrad,0.0989206,1.80273,0.0262071,0.287881,18.0337,30
2x64,physics,full crossing,x,um,962.612,10856.2,0.0375932,0.22807,11.0264,30
2x64,physics,full crossing,y,um,390.952,5437.76,0.0265568,0.240172,13.8578,30
4x128,data,0.1 mm,max_xy,um,124206,1.75198e+06,nan,nan,14.446,30
4x128,data,0.1 mm,tx,mrad,50.744,702.486,0.0479399,0.238847,13.0502,30
4x128,data,0.1 mm,ty,mrad,0.760942,20.0506,0.0632758,0.884633,24.0748,30
4x128,data,0.1 mm,x,um,122458,1.75198e+06,0.152896,0.843303,14.4507,30
4x128,data,0.1 mm,y,um,2126.18,57421.1,0.0577216,1.01806,27.1487,30
4x128,data,1 mm,max_xy,um,2694.28,1.36058e+06,nan,nan,469.312,30
4x128,data,1 mm,tx,mrad,0.907979,523.483,0.0395336,8.72086,590.918,30
4x128,data,1 mm,ty,mrad,0.397464,16.8027,0.0414481,0.920897,45.6416,30
4x128,data,1 mm,x,um,2196.14,1.36058e+06,0.115775,26.8689,583.924,30
4x128,data,1 mm,y,um,1093.4,45736.2,0.0420394,1.24793,40.2841,30
4x128,data,10 mm,max_xy,um,2194.22,47166.1,nan,nan,18.9166,30
4x128,data,10 mm,tx,mrad,0.543247,16.0541,0.0321186,1.88822,26.8099,30
4x128,data,10 mm,ty,mrad,0.346297,7.38427,0.03708,0.467942,21.3053,30
4x128,data,10 mm,x,um,1503.2,41768.6,0.0482626,2.11505,25.0751,30
4x128,data,10 mm,y,um,1038.96,21007.2,0.0363979,0.529734,21.2158,30
4x128,data,100 mm,max_xy,um,2574.71,43784.9,nan,nan,14.7583,30
4x128,data,100 mm,tx,mrad,0.709624,12.9851,0.0515424,0.514409,17.667,30
4x128,data,100 mm,ty,mrad,0.377667,7.43662,0.034006,0.348787,19.7575,30
4x128,data,100 mm,x,um,1852.23,35356.6,0.071575,0.774353,17.4807,30
4x128,data,100 mm,y,um,1231.53,22813.4,0.0342819,0.411212,19.5656,30
4x128,data,1000 mm,max_xy,um,3185.51,45109.6,nan,nan,13.857,30
4x128,data,1000 mm,tx,mrad,1.00939,17.1184,0.0454728,0.426419,17.2928,30
4x128,data,1000 mm,ty,mrad,0.501138,9.18312,0.0817599,0.673025,17.8834,30
4x128,data,1000 mm,x,um,2584.06,40603.1,0.064079,0.529431,16.4622,30
4x128,data,1000 mm,y,um,1324.88,23556.7,0.0520618,0.464475,17.1037,30
4x128,data,full crossing,max_xy,um,2049.76,29298.2,nan,nan,13.558,30
4x128,data,full crossing,tx,mrad,0.573603,9.86196,0.029199,0.250703,17.0481,30
4x128,data,full crossing,ty,mrad,0.404894,8.53067,0.0542585,0.478624,18.9175,30
4x128,data,full crossing,x,um,1305.84,24067.2,0.0485321,0.500377,16.9603,30
4x128,data,full crossing,y,um,1044.05,17751.2,0.0305138,0.21564,17.8959,30
4x128,physics,0.1 mm,max_xy,um,208281,1.07297e+06,nan,nan,4.76263,30
4x128,physics,0.1 mm,tx,mrad,63.3517,368.569,0.0628605,0.144437,5.88637,30
4x128,physics,0.1 mm,ty,mrad,1.7778,18.7844,0.0868999,0.487543,10.9542,30
4x128,physics,0.1 mm,x,um,208281,1.07297e+06,0.188852,0.361691,4.76263,30
4x128,physics,0.1 mm,y,um,4931.59,63997.8,0.092482,0.475318,13.1467,30
4x128,physics,1 mm,max_xy,um,201230,1.15484e+06,nan,nan,5.22755,30
4x128,physics,1 mm,tx,mrad,61.1868,386.005,0.0619003,0.154746,6.39877,30
4x128,physics,1 mm,ty,mrad,1.76833,18.932,0.107972,0.515998,11.2691,30
4x128,physics,1 mm,x,um,201230,1.15484e+06,0.189637,0.412133,5.22755,30
4x128,physics,1 mm,y,um,4794.98,65599.8,0.0882558,0.638232,14.5819,30
4x128,physics,10 mm,max_xy,um,158036,1.04376e+06,nan,nan,5.74322,30
4x128,physics,10 mm,tx,mrad,50.1691,348.702,0.0577645,0.149585,6.46502,30
4x128,physics,10 mm,ty,mrad,1.62276,18.0058,0.106864,0.526184,11.7067,30
4x128,physics,10 mm,x,um,158036,1.04376e+06,0.173281,0.430921,5.74322,30
4x128,physics,10 mm,y,um,4567.68,60492.1,0.0796365,0.587377,13.8204,30
4x128,physics,100 mm,max_xy,um,15592.1,101175,nan,nan,6.4863,30
4x128,physics,100 mm,tx,mrad,5.45091,31.9857,0.0780291,0.541505,5.80732,30
