example,evt,mckey,N,q,plane,z_mm,dx_um,dy_um,dtx_mrad,dty_mrad
p50,49,1974,16,15,3,3619.0375,82.99674309789395,51.6843700726497,-0.040625466606412225,0.009662345975006148
p50,49,1974,16,15,4,3942.6499999999996,71.4510121279801,71.42647297783355,-0.038995218913848856,0.024658229389719344
p50,49,1974,16,15,5,4266.2625,45.93506336580333,88.25844811366323,-0.021483155759692563,0.014230612182405955
p50,49,1974,16,15,6,4589.875,97.85557807730072,119.42552982048937,-0.028951684679229966,0.02054446637719115
p50,49,1974,16,15,7,4913.487499999999,179.31569186903573,134.88497898413243,-0.024357687083228878,0.02408624193854514
p50,49,1974,16,15,8,5237.1,260.42172667074226,122.61796266506053,-0.025120591588656538,0.03412623804517623
p50,49,1974,16,15,9,5560.7125,318.93318873950705,116.5973069140307,-0.04401068774408795,0.04213935294715421
p50,49,1974,16,15,10,5884.325,373.8065138132072,118.76367825436773,-0.07417645399407022,0.05277856582894952
p50,49,1974,16,15,11,6207.9375,420.1825242663517,115.24244205861578,-0.06986163156647365,0.06474410262884145
p50,49,1974,16,15,12,6531.55,460.7125845063109,109.93838221770602,-0.08062140092610776,0.07174800244193896
p50,49,1974,16,15,13,6855.1625,529.6452964029115,119.28316746860901,-0.12210330045515222,0.07080109187269229
p50,49,1974,16,15,14,7178.775,603.5726051207248,123.75878393027051,-0.13228274801552892,0.06006658524712605
p50,49,1974,16,15,15,7502.3875,699.4281631542165,130.09174269757295,-0.11787331750319485,0.05819959409566339
p50,49,1974,16,15,16,7826.0,804.1581929731744,142.76528406259104,-0.13876095677455708,0.0649444200207655
p50,49,1974,64,7,0,2648.2,0.0,0.0,0.0,0.0
p50,49,1974,64,7,1,2729.1031249999996,4.654030748184823,2.2396355169291837,0.0021089205191407445,-0.0014744958498971728
p50,49,1974,64,7,2,2810.00625,10.931455136699242,3.8960215698438105,0.0009660637650538151,-0.0017829140373168406
p50,49,1974,64,7,3,2890.9093749999997,17.941875011842967,5.6420299709429855,-0.0036995347791300703,-0.0016613630119816092
p50,49,1974,64,7,4,2971.8125,25.375864877403842,7.712145625390576,-0.009692274988541,-0.0015710007238364798
p50,49,1974,64,7,5,3052.715625,33.19155311109512,9.847200198777273,-0.017661243238487057,-0.0014926539045889697
p50,49,1974,64,7,6,3133.6187499999996,41.28311799165374,12.091467278679602,-0.026718694445433677,-0.002034022786048806
p50,49,1974,64,7,7,3214.521875,50.059470767621406,14.330746523825155,-0.03620354847437904,-0.0027317750878053104
