N,q,variable,lo,hi,n,pos_med_um,pos_p90_um,dx_med_um,dy_med_um,dtx_med_mrad,dty_med_mrad
16,15,r1_mm,1500,4000,166,1992.6791677795563,6961.816342400994,1782.8821604342693,682.3548350884039,0.7377315261413164,0.3059769837989723
16,15,abs_x1_mm,0,150,217,924.1856248504945,4813.4156101061735,886.9847246711942,106.1378727714839,0.27701895827952905,0.03440779422936649
16,15,abs_x1_mm,150,300,296,723.8791878600637,2246.9657042467475,695.7228347352356,133.0145788481829,0.20995861448731834,0.029970417547182417
16,15,abs_x1_mm,300,600,368,551.3141380910724,1455.9279294212674,502.70324399855326,207.2764399079965,0.13518174735131783,0.0548995256353553
16,15,abs_x1_mm,600,1000,280,540.9048859540349,1887.0248247000739,486.66912860096545,199.0995497986887,0.25831093968563257,0.06306620788174705
16,15,abs_x1_mm,1000,2000,257,1246.827597419724,3733.276609386349,1237.7853804225651,364.6428369524415,0.4317099932608093,0.15347548588398596
16,15,abs_x1_mm,2000,4000,34,4462.84659230642,8771.444560374914,4375.7937660561765,1609.143936049108,0.9317900746708685,0.7379768665750734
16,15,abs_y1_mm,0,100,240,589.3335315040531,2069.9994410746276,572.2991225313763,128.26918074477334,0.21628872639849195,0.03354042216827428
16,15,abs_y1_mm,100,300,575,631.9611172928035,2111.4547082735335,607.1214760916064,132.6953645205151,0.21942605055383368,0.038025338714036544
16,15,abs_y1_mm,300,600,330,712.0500523617466,1877.4961327431477,678.4596285047826,242.53463477251103,0.2435566384902249,0.06435740786098557
16,15,abs_y1_mm,600,1000,205,1005.9756592014253,3035.471877449037,951.0804820081376,417.97860339113413,0.2642266857856568,0.12221218849654825
16,15,abs_y1_mm,1000,3000,102,2049.5988449354545,7106.176596140609,1630.4913996200412,1159.0663558773713,0.5129170980061049,0.3476555676188292
16,15,max_slope0,0,0.02,192,507.6121680534982,3894.135854040575,507.6121680534982,98.82399100257544,0.18842738297874737,0.02599885301818837
16,15,max_slope0,0.02,0.05,518,558.315013479131,1293.1895881955031,539.4700209138073,117.43674697282813,0.18683721022057231,0.033928036942897435
16,15,max_slope0,0.05,0.1,382,739.4168415551405,1597.6037685887616,716.1160371446158,267.41764167122994,0.2521266781615461,0.06474263201423046
16,15,max_slope0,0.1,0.2,311,1279.8901718699653,4034.62894332597,1151.3719007748477,523.3497889753949,0.42721054842026485,0.15525464935877212
16,15,max_slope0,0.2,0.4,49,4107.031627637184,9843.27947127031,2987.496461634919,2730.298257928439,0.9968287406180165,0.8906888688505199
16,15,charge,-1.5,0,713,693.9752879299874,2595.9462739343826,633.5419196263956,226.78124733724303,0.2532850307440729,0.046138654497762666
16,15,charge,0,1.5,739,745.5440918073464,2671.3108433807474,703.9549746449438,169.93863577312408,0.24045568776936976,0.06095377060968965
16,15,abs_pid,0,212,1137,703.004632402525,2447.389521074273,650.0738914760404,199.46635526196133,0.2376967693902554,0.05404194530851669
16,15,abs_pid,212,322,163,758.7782854165539,3819.950501019148,751.603413045359,176.48327863716418,0.2782104310646294,0.05294102832286568
16,15,abs_pid,322,2213,152,852.3627040576116,4462.455311492136,746.6515967996372,202.77082185989315,0.2543540589240306,0.05168235305906283
64,7,p_gev,1,2,5,10498.837708441699,22675.14451009904,10498.837708441699,5194.12059098147,7.6144430517428585,1.0052610093609569
64,7,p_gev,2,5,500,2471.56404390671,6807.7715558413165,2251.456834927254,843.0614737550286,1.2776945674517344,0.21938605367579017
64,7,p_gev,5,10,430,2117.4037044430065,4126.046691556758,2043.3561729379335,289.5519577799348,0.7211784746114225,0.10482317983269429
64,7,p_gev,10,25,383,1095.3711615380257,2228.6558586196306,1078.295038652584,254.44408420258924,0.7865515164883902,0.07797693461547572
64,7,p_gev,25,200,134,8044.473866583644,15535.818909330776,8044.473866583644,486.32466861992896,3.331314814296067,0.10369232750757733
64,7,eta,2,2.5,158,3814.600629729398,10134.4743243241,2850.1944721610357,1976.3630059059665,1.4521349319244758,0.6733224385001395
64,7,eta,2.5,3,255,1761.8060284037256,6106.638190287413,1536.8386843559847,779.1430704742197,0.9522615758953967,0.19516677340200572
64,7,eta,3,3.5,292,1959.5473241033972,4143.282683676902,1866.1863174992277,514.7386998051928,1.014447206599156,0.12319054010198269
64,7,eta,3.5,4,302,1859.0791311849557,4051.9199872996423,1847.4507426227547,303.99976461063716,0.965428791532795,0.0870990814438588
64,7,eta,4,4.5,249,1768.9608210806398,7112.782031170159,1768.7567923695724,248.22644107480585,0.987012888604033,0.07992786702293656
64,7,eta,4.5,5,196,1455.694468597912,9447.300204636364,1455.694468597912,239.17089026974026,0.9052598047921758,0.07666506025180188
64,7,r1_mm,0,150,21,2507.752431591541,15183.547742215438,2507.752431591541,370.396989392475,1.611617237845038,0.07921768308243732
64,7,r1_mm,150,300,267,2001.9822273016957,13298.812827165215,1990.8683664547907,340.7231464471181,1.1811236036785995,0.07379547479821613
64,7,r1_mm,300,600,398,1503.2709473931618,3957.1490552556847,1476.293382017161,286.86370071232847,0.8152779943843071,0.0933092799239206
64,7,r1_mm,600,1000,336,1962.930649060242,4143.832112365203,1870.3531116452723,359.1100600355617,0.8878081763090129,0.13806156643999112
64,7,r1_mm,1000,1500,264,2016.1385043454488,4886.846447263573,1805.381031751324,745.5150192885469,0.8793518698448077,0.20220604750878154
64,7,r1_mm,1500,4000,166,3982.3403196686513,8828.988821582016,3478.9949919147602,1172.1237020404658,2.138147235593885,0.3674091757080583
64,7,abs_x1_mm,0,150,217,2023.0992120611688,13647.61268022378,2001.9822273016957,423.07449426772337,1.291597567791257,0.09940499541147285
64,7,abs_x1_mm,150,300,296,1740.0269968256907,8706.725017590044,1683.38387036286,352.3416891419515,1.0499710490727425,0.0856591821637386
64,7,abs_x1_mm,300,600,368,1603.842945412481,3926.933565907797,1497.2426858605559,294.605370475864,0.7913460594152766,0.10769185597904116
64,7,abs_x1_mm,600,1000,280,1835.0619319902535,4341.528258552,1765.4955931706695,338.63883057017574,0.7333300063346315,0.1352492719039998
64,7,abs_x1_mm,1000,2000,257,2605.2995119750904,6570.282337755317,2547.8300002148444,789.8679948624476,1.580222435042522,0.19103195874465434
64,7,abs_x1_mm,2000,4000,34,6508.3478758986075,18910.89331565058,5751.511429486982,2250.063828656778,2.288358802708168,1.6009666382106462
64,7,abs_y1_mm,0,100,240,1584.6583246918158,6852.440231309953,1570.6507347715615,284.9383440180668,0.7951824713181219,0.07893857093378265
64,7,abs_y1_mm,100,300,575,1981.9868667478886,6937.604900760534,1919.1266720446265,312.73214987595566,1.0121204975479179,0.08901920280008149
64,7,abs_y1_mm,300,600,330,1865.9574763921682,4455.767012951708,1812.7274839732622,502.5221694262427,0.959892779928806,0.14006689183074586
64,7,abs_y1_mm,600,1000,205,1963.2600484985687,6793.8771135998195,1832.3881267663182,703.5074753591744,1.0824980713137755,0.20702846484160764
64,7,abs_y1_mm,1000,3000,102,3731.2911936613773,8730.356917093697,2759.719673372835,1635.93790397249,1.575637480581038,0.5222084614939781
64,7,max_slope0,0,0.02,192,1494.3302785014084,12244.706544844526,1494.3302785014084,256.64024619914017,0.9320596707808535,0.07724915387211528
64,7,max_slope0,0.02,0.05,518,1848.8616931632223,5140.102097961663,1844.9492172116707,277.5585886165004,0.9874528996562937,0.08197396666778829
64,7,max_slope0,0.05,0.1,382,1848.181996327071,3901.283628649754,1759.9032745129648,518.8589836902438,0.9730948450171889,0.12914105062727596
64,7,max_slope0,0.1,0.2,311,2252.2573207756977,7002.513342398629,1979.1898265829673,993.4319466647139,1.0610271462648535,0.2636545796818046
64,7,max_slope0,0.2,0.4,49,5921.445382933712,15505.872768831945,4417.262738386398,4340.7882875023915,1.7978559051018694,1.478808869524284
64,7,charge,-1.5,0,713,2025.127327255909,5872.266042696847,1972.9185293000455,373.09502196102073,0.9978584076953401,0.11516682630848506
