tag,width,depth,q,mode,seed,stratum,direction,component,unit,median_abs,p95_abs,mean,rms,n
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,backward,y,um,6.58248e-05,0.0010834,4.16026e-05,0.00068067,1000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,backward,tx,mrad,0.0323937,0.470267,0.00032567,0.257075,1000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,backward,ty,mrad,0.000250681,0.00500886,0.00014242,0.00399477,1000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,backward,max_xy,um,0.000123943,0.00193541,0.000482635,0.00140913,1000
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,all,x,um,0.00867464,0.178321,0.00201216,0.157772,2000
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,all,y,um,0.00743447,0.102937,-1.19335e-05,0.0645666,2000
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,all,tx,mrad,0.0483845,1.72374,0.0425297,1.268,2000
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,all,ty,mrad,0.00212742,0.0412291,3.53969e-05,0.0270003,2000
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,all,max_xy,um,0.0135083,0.210329,0.0505356,0.162575,2000
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,forward,x,um,0.00872491,0.184626,0.0048365,0.189581,994
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,forward,y,um,0.00688159,0.102394,0.000743217,0.0603336,994
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,forward,tx,mrad,0.0295568,0.579164,0.0538032,0.651701,994
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,forward,ty,mrad,0.00168651,0.0393867,-0.00138934,0.022745,994
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,forward,max_xy,um,0.0127462,0.227227,0.0525364,0.194162,994
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,backward,x,um,0.0086171,0.163651,-0.000778482,0.118216,1006
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,backward,y,um,0.00769013,0.102919,-0.000758077,0.0684926,1006
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,backward,tx,mrad,0.0863037,2.50079,0.0313907,1.66637,1006
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,backward,ty,mrad,0.00267314,0.0433229,0.00144314,0.0306296,1006
w128_d2_q02_data_s1,128,2,2,data,1,5-20 mm,backward,max_xy,um,0.0144552,0.194115,0.0485587,0.123679,1006
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,all,x,um,1.74596,35.5941,-0.270266,23.1168,2000
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,all,y,um,1.14217,18.4835,0.362764,11.6469,2000
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,all,tx,mrad,0.243569,2.40215,0.00188242,1.31579,2000
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,all,ty,mrad,0.0260846,0.418269,0.0105672,0.278174,2000
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,all,max_xy,um,2.35973,37.9321,9.21086,24.6644,2000
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,forward,x,um,1.90415,39.1866,-1.76541,28.1747,968
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,forward,y,um,1.091,18.5063,-0.116528,9.86764,968
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,forward,tx,mrad,0.182664,1.7118,-0.00273981,0.838691,968
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,forward,ty,mrad,0.0241897,0.434987,-0.0120863,0.226493,968
w128_d2_q02_data_s1,128,2,2,data,1,50-200 mm,forward,max_xy,um,2.4777,44.2966,10.431,28.9189,968
