leg,EVT,MCKEY,P_GeV,ETA,direction,p_band,z0,z1,measurement,step_mm,reference_step_mm,integrator,field,pos_um,slope_urad
186,24,2680,28.059642791748047,4.017484664916992,-1,25-200,7826.0849609375,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,3.57303520104324e-06,9.180572968503498e-07
187,125,2746,27.272655487060547,4.587978363037109,-1,25-200,7825.853515625,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.023721551973722e-06,8.305231502525601e-07
188,20,2696,25.8460750579834,4.650086402893066,-1,25-200,7825.57666015625,2656.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,4.406004450174805e-07,9.555203850375449e-08
189,19,5836,65.4066162109375,4.602614879608154,-1,25-200,7826.33447265625,2648.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.223654066961899e-06,7.94697641026687e-07
190,189,2665,29.27837562561035,4.2490081787109375,-1,25-200,7826.552734375,2656.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.423245521436911e-06,5.691003224228552e-07
191,63,6752,45.493003845214844,3.079075574874878,-1,25-200,7827.884765625,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.494498746978934e-06,5.384442891553931e-07
192,84,2234,25.10687828063965,4.236830711364746,-1,25-200,7825.919921875,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.893667445074243e-06,2.932203091443597e-07
193,42,1312,33.21366500854492,3.4938807487487793,-1,25-200,7827.67041015625,2648.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.7237163635618344e-06,1.1428462343143764e-06
194,63,9488,37.71946716308594,4.145887851715088,-1,25-200,7825.427734375,2656.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,5.614779752249888e-07,3.1150429458115525e-07
195,184,1075,40.526737213134766,4.750615119934082,-1,25-200,7825.916015625,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.038930801973038e-06,5.746132736295095e-07
