predictor,arch,mode,seed,stratum,p_band,direction,n,median_abs_dz_mm,vs_hit_med_um,vs_hit_p95_um,vs_reference_med_um,vs_reference_p95_um
exact scheme q=8,-,-,-,all,5-20 GeV,forward,2606,140.02239974999975,13.047403020307158,2460.1000461317994,0.0008984381540955155,41.74569643598858
exact scheme q=8,-,-,-,all,5-20 GeV,backward,2606,203.6929999999993,8.73532204110461,1588.989619011535,0.0006035033948137425,53.1837823354806
exact scheme q=8,-,-,-,all,20-200 GeV,all,1490,70.21095024999977,2.7142636710522083,440.6444982989953,7.566220361354681e-05,11.214486166420551
exact scheme q=8,-,-,-,all,20-200 GeV,forward,753,139.99350049999885,3.0667460904965083,594.3426969084721,0.00014348457000323833,7.6257636147829535
exact scheme q=8,-,-,-,all,20-200 GeV,backward,737,70.2077999999965,2.4351221970562165,345.4537480747546,4.6628088057332207e-05,15.248068894541674
exact scheme q=8,-,-,-,0.05-2 mm,all,all,436,0.6499827500010724,0.10938066691323911,0.9476415445135444,4.547473508864641e-10,2.2737367544323206e-09
exact scheme q=8,-,-,-,0.05-2 mm,all,forward,218,0.6499827500010724,0.11432611495365563,1.0065759668293544,4.547473508864641e-10,2.0804691303055684e-09
exact scheme q=8,-,-,-,0.05-2 mm,all,backward,218,0.6499827500010724,0.10531764867494076,0.8744041475068797,4.547473508864641e-10,2.2737367544323206e-09
exact scheme q=8,-,-,-,0.05-2 mm,1-5 GeV,all,248,0.6499792499998875,0.1878687094176712,1.2018352609175054,9.094947017729282e-10,2.2737367544323206e-09
exact scheme q=8,-,-,-,0.05-2 mm,1-5 GeV,forward,124,0.6499792499998875,0.22289977408718187,1.1993442253924513,9.094947017729282e-10,2.2737367544323206e-09
exact scheme q=8,-,-,-,0.05-2 mm,1-5 GeV,backward,124,0.6499792499998875,0.16376321573829955,1.1964563893798175,9.094947017729282e-10,2.2737367544323206e-09
exact scheme q=8,-,-,-,0.05-2 mm,5-20 GeV,all,142,0.6499850000000151,0.08465909742483291,0.24661559498078128,2.540190280342358e-10,6.821210263296962e-10
exact scheme q=8,-,-,-,0.05-2 mm,5-20 GeV,forward,71,0.6499850000000151,0.07863852863465581,0.22931528933511913,2.3803181647963356e-10,5.684341886080801e-10
exact scheme q=8,-,-,-,0.05-2 mm,5-20 GeV,backward,71,0.6499850000000151,0.09028759336615622,0.3168770287516054,2.7000623958883807e-10,6.821210263296962e-10
exact scheme q=8,-,-,-,0.05-2 mm,20-200 GeV,all,46,0.6499925000007352,0.058006293799373054,0.12500909769386226,8.526512829121202e-11,2.2737367544323206e-10
exact scheme q=8,-,-,-,0.05-2 mm,20-200 GeV,forward,23,0.6499925000007352,0.05569343852585007,0.1301732045789094,1.1368683772161603e-10,2.2168933355715118e-10
