arm,network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
residual,residual_w50_data_s1,data,1,50,4,True,test,6,853,2632.84712140171,32654.054757107617,1.123933555658041,8330.801
residual,residual_w50_data_s2,data,2,50,4,True,val,0,4551,0.013976320866859737,1204.4396034793676,0.00036269752665130106,55.0
residual,residual_w50_data_s2,data,2,50,4,True,val,1,4551,4.761991486503803,2876.1197958566454,0.020804336518309013,373.71799999999996
residual,residual_w50_data_s2,data,2,50,4,True,val,2,4551,44.09633707531668,7789.412020943445,0.07483862378721007,821.8929999999991
residual,residual_w50_data_s2,data,2,50,4,True,val,3,4551,167.32086734253926,11528.741041238449,0.16316868911177437,2099.987
residual,residual_w50_data_s2,data,2,50,4,True,val,4,2932,704.9167888642387,25032.71068365539,0.40901218661691663,6281.1775
residual,residual_w50_data_s2,data,2,50,4,True,val,5,1524,1495.6111100816258,39503.3207701072,0.7729642641648576,7759.312
residual,residual_w50_data_s2,data,2,50,4,True,val,6,856,1601.916480585487,35411.07180239305,0.8229006181525756,8181.928
residual,residual_w50_data_s2,data,2,50,4,True,test,0,4563,0.012618858896695784,1073.421859928403,0.0003335558458467114,69.21399999999994
residual,residual_w50_data_s2,data,2,50,4,True,test,1,4563,3.713022513516906,2801.8068371034624,0.017941099463583687,335.087
residual,residual_w50_data_s2,data,2,50,4,True,test,2,4563,36.72537383152985,7526.248682075672,0.06482740851998514,752.393
residual,residual_w50_data_s2,data,2,50,4,True,test,3,4563,140.9051881699952,10422.300685075807,0.1478531402685397,1994.9869999999999
residual,residual_w50_data_s2,data,2,50,4,True,test,4,2914,635.3544560496118,20160.841971665574,0.3679031173942238,6269.4015
residual,residual_w50_data_s2,data,2,50,4,True,test,5,1481,1500.5791592618323,43208.13234341949,0.758048935690099,7783.540000000001
residual,residual_w50_data_s2,data,2,50,4,True,test,6,853,1631.5612655823202,28036.973556360528,0.8016031529392078,8330.801
residual,residual_w50_physics_s0,physics,0,50,4,True,val,0,4551,1.067704772806266,1325.4025078583281,0.043914759024710204,55.0
residual,residual_w50_physics_s0,physics,0,50,4,True,val,1,4551,60.66042104578173,4035.2201572494123,0.2056233428757437,373.71799999999996
residual,residual_w50_physics_s0,physics,0,50,4,True,val,2,4551,262.9799949581155,9035.84488624645,0.34823756715282594,821.8929999999991
residual,residual_w50_physics_s0,physics,0,50,4,True,val,3,4551,628.960206192346,12858.389115875867,0.6283254068950028,2099.987
residual,residual_w50_physics_s0,physics,0,50,4,True,val,4,2932,1901.8811358835812,29384.13262856273,1.1773329512275166,6281.1775
residual,residual_w50_physics_s0,physics,0,50,4,True,val,5,1524,3693.6269780386083,47359.30441782938,1.947854399258115,7759.312
residual,residual_w50_physics_s0,physics,0,50,4,True,val,6,856,4312.428077113793,47433.417382102336,2.192308966684266,8181.928
residual,residual_w50_physics_s0,physics,0,50,4,True,test,0,4563,1.086451797526422,1292.4694413155175,0.043541914616104016,69.21399999999994
residual,residual_w50_physics_s0,physics,0,50,4,True,test,1,4563,54.080221098308456,3686.7633862958833,0.20591090313976101,335.087
residual,residual_w50_physics_s0,physics,0,50,4,True,test,2,4563,243.74804303761266,8601.283984241834,0.33693295534406587,752.393
residual,residual_w50_physics_s0,physics,0,50,4,True,test,3,4563,569.4001148962684,13075.797367018798,0.6163042967771148,1994.9869999999999
residual,residual_w50_physics_s0,physics,0,50,4,True,test,4,2914,1821.2089624670398,26587.89064521523,1.0888976171543858,6269.4015
residual,residual_w50_physics_s0,physics,0,50,4,True,test,5,1481,3792.5949826179135,47038.16130697396,1.9240196514377224,7783.540000000001
residual,residual_w50_physics_s0,physics,0,50,4,True,test,6,853,4638.006264463115,36849.86602339113,2.0802894823303273,8330.801
residual,residual_w50_physics_s1,physics,1,50,4,True,val,0,4551,1.134332774657132,1477.2246905009183,0.04638047041849794,55.0
residual,residual_w50_physics_s1,physics,1,50,4,True,val,1,4551,70.07961377837546,4034.4897133580275,0.23120812429770765,373.71799999999996
residual,residual_w50_physics_s1,physics,1,50,4,True,val,2,4551,311.7336863408866,9071.931176672591,0.3967506388807829,821.8929999999991
residual,residual_w50_physics_s1,physics,1,50,4,True,val,3,4551,650.3654369271175,13427.370919155408,0.6842804228826271,2099.987
residual,residual_w50_physics_s1,physics,1,50,4,True,val,4,2932,1894.0438857950994,30888.75385558838,1.1355446750783773,6281.1775
residual,residual_w50_physics_s1,physics,1,50,4,True,val,5,1524,3683.2171865497826,41082.14912866958,2.1220784966280926,7759.312
residual,residual_w50_physics_s1,physics,1,50,4,True,val,6,856,4230.787108082368,41380.31570381682,2.404372882281347,8181.928
residual,residual_w50_physics_s1,physics,1,50,4,True,test,0,4563,1.112987159809009,1349.1377955432017,0.04454645134264329,69.21399999999994
residual,residual_w50_physics_s1,physics,1,50,4,True,test,1,4563,59.13612632599552,3748.34861051666,0.22053536498589654,335.087
residual,residual_w50_physics_s1,physics,1,50,4,True,test,2,4563,269.92879806937253,8564.470489979405,0.3849885794968283,752.393
residual,residual_w50_physics_s1,physics,1,50,4,True,test,3,4563,607.303564708559,12396.562079251766,0.6517931906057407,1994.9869999999999
residual,residual_w50_physics_s1,physics,1,50,4,True,test,4,2914,1903.3476115851604,25301.39608623907,1.1066044536148234,6269.4015
residual,residual_w50_physics_s1,physics,1,50,4,True,test,5,1481,3959.9675143084596,45313.60380365413,2.0467475145445335,7783.540000000001
residual,residual_w50_physics_s1,physics,1,50,4,True,test,6,853,4447.655010491985,31805.741236739406,2.1991004985474625,8330.801
