arm,tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
residual,residual_w50_physics_s4,physics,4,50,4,B,8,1.0,True,1014.6247789034533,25297.148393896117,564
residual,residual_w50_physics_s4,physics,4,50,4,C,0,0.019855071751231912,False,0.015251564946083818,3.3949574562370812,2793
residual,residual_w50_physics_s4,physics,4,50,4,C,1,0.10166676129318664,False,0.05319991390706491,19.48132892714515,2793
residual,residual_w50_physics_s4,physics,4,50,4,C,2,0.2372337950418355,False,0.16861555781133575,66.18461519888825,2793
residual,residual_w50_physics_s4,physics,4,50,4,C,3,0.4082826787521751,False,0.28872395193957345,79.84659830081006,2793
residual,residual_w50_physics_s4,physics,4,50,4,C,4,0.5917173212478248,False,0.41204247071391364,113.94413681327934,2793
residual,residual_w50_physics_s4,physics,4,50,4,C,5,0.7627662049581645,False,0.6155421161277985,161.71776604428487,2793
residual,residual_w50_physics_s4,physics,4,50,4,C,6,0.8983332387068134,False,0.8872068677305833,206.32818163610432,2793
residual,residual_w50_physics_s4,physics,4,50,4,C,7,0.9801449282487681,False,1.1118265171319308,239.9421734745659,2793
residual,residual_w50_physics_s4,physics,4,50,4,C,8,1.0,True,1.1750836044797097,259.8244951943942,2793
residual,residual_w50_physics_s5,physics,5,50,4,A,0,0.019855071751231912,False,0.042467300519710705,392.70925972098433,604
residual,residual_w50_physics_s5,physics,5,50,4,A,1,0.10166676129318664,False,0.13215701701208005,803.0258870471964,604
residual,residual_w50_physics_s5,physics,5,50,4,A,2,0.2372337950418355,False,0.7218865633027427,2632.206441640021,604
residual,residual_w50_physics_s5,physics,5,50,4,A,3,0.4082826787521751,False,1.8911129846679309,7906.230517183836,604
residual,residual_w50_physics_s5,physics,5,50,4,A,4,0.5917173212478248,False,2.971070812808785,8917.653153247296,604
residual,residual_w50_physics_s5,physics,5,50,4,A,5,0.7627662049581645,False,3.5292063653290517,12902.27308024876,604
residual,residual_w50_physics_s5,physics,5,50,4,A,6,0.8983332387068134,False,3.935769420987778,14097.63851778833,604
residual,residual_w50_physics_s5,physics,5,50,4,A,7,0.9801449282487681,False,4.06840939252695,14246.666852866336,604
residual,residual_w50_physics_s5,physics,5,50,4,A,8,1.0,True,4.051908245034319,13470.859670685051,604
residual,residual_w50_physics_s5,physics,5,50,4,B,0,0.019855071751231912,False,82.63739760557343,553.3883130373134,564
