N,q,checkpoint,p_lo,p_hi,component,unit,n,med_abs,rms,std,mean,signed_med,hw68,p95_abs,rms_no_tail,dz_mm,kind,n_tail,tail_frac,x0_med_tail_mm,x0_med_rest_mm
64,2,0,5,7,tx,mrad,233,0.050146856205052215,0.1840478337770666,0.1826551602806607,-0.022598618118745407,-0.03369156687643704,0.07316320255420977,0.33974358710530117,0.12587662606946862,80.9,"endpoint (after N steps, at z1)",10,0.04291845493562232,259.4999228796303,91.19906534899889
64,2,0,5,7,ty,mrad,233,0.0642418367711381,0.24092925299400259,0.2403481202273125,0.016723816892248475,0.01927500455315735,0.0921217875194709,0.36630213536536493,0.14891477445405557,80.9,"endpoint (after N steps, at z1)",10,0.04291845493562232,259.4999228796303,91.19906534899889
64,2,0,5,8,x,um,314,45.56340471154385,453.4120694971905,453.3444767814671,7.828801789734791,-8.148956181429412,76.15751871000612,428.51706855733397,127.25295413776409,80.9,"endpoint (after N steps, at z1)",11,0.03503184713375796,188.82391606460178,89.29150479641856
64,2,0,5,8,y,um,314,77.84806475636685,533.3752464741266,532.8224358820678,24.277672294416547,-5.3511705690425515,115.96949625248385,504.9735593955347,162.9113517580052,80.9,"endpoint (after N steps, at z1)",11,0.03503184713375796,188.82391606460178,89.29150479641856
64,2,0,5,8,tx,mrad,314,0.043656443651410304,0.1612442975968833,0.16036390343841242,-0.01682682327439736,-0.019213737776163642,0.06313996331971633,0.30315360328177354,0.11100415294932081,80.9,"endpoint (after N steps, at z1)",11,0.03503184713375796,188.82391606460178,89.29150479641856
64,2,0,5,8,ty,mrad,314,0.056571970892461965,0.21101648484911698,0.2106278835682853,0.012800450836688362,0.01979139694707928,0.08686272736165396,0.3199790770994187,0.13350946815626646,80.9,"endpoint (after N steps, at z1)",11,0.03503184713375796,188.82391606460178,89.29150479641856
64,2,0,10,20,x,um,317,12.501847708961122,94.44755061442562,94.31977583150629,-4.911181544077604,-5.0152830537228965,19.05977096430263,87.46682590236786,53.86812077016433,80.9,"endpoint (after N steps, at z1)",2,0.006309148264984227,544.0891996968364,51.8479050271107
64,2,0,10,20,y,um,317,19.428412225494185,119.10752084017972,118.3390443538186,13.50822349973521,3.8345897695535314,34.18601836177146,118.73211541438583,64.47079508631025,80.9,"endpoint (after N steps, at z1)",2,0.006309148264984227,544.0891996968364,51.8479050271107
64,2,0,10,20,tx,mrad,317,0.013316644886712803,0.058985996055620354,0.05862096318492146,-0.00655212987857713,-0.008440482628671586,0.015308772173273364,0.06714068875067826,0.057163728282587624,80.9,"endpoint (after N steps, at z1)",2,0.006309148264984227,544.0891996968364,51.8479050271107
64,2,0,10,20,ty,mrad,317,0.01612575923630455,0.06823923288393013,0.06820238082205368,0.0022423547424118896,0.007350029051562956,0.02169774972970394,0.08440777077858536,0.04098139753487058,80.9,"endpoint (after N steps, at z1)",2,0.006309148264984227,544.0891996968364,51.8479050271107
128,8,0,3,5,x,um,341,159.38256670324336,838.1304474119754,838.073272624528,-9.789616509940801,-21.454545752817467,279.61825073119826,1049.3521890959983,272.384543163357,40.5,"endpoint (after N steps, at z1)",47,0.1378299120234604,225.1562930866806,125.1132099025983
128,8,0,3,5,y,um,341,221.25749953517015,1181.293713697621,1180.150371035012,-51.96094463576789,-24.66716534695479,370.0618496050197,1474.3083059343007,319.4084695453553,40.5,"endpoint (after N steps, at z1)",47,0.1378299120234604,225.1562930866806,125.1132099025983
