N,q,component,unit,p_lo,p_hi,n,med,p95,signed_mean
64,2,ty,mrad,2.0,3.0,159,0.08867437590071373,0.3425737111435899,-0.04402851440652657
64,2,ty,mrad,3.0,5.0,341,0.038513764882987245,0.30475089084566753,-0.010604996276669491
64,2,ty,mrad,5.0,7.0,233,0.023511813513621416,0.22351509755404406,0.01550048857735873
64,2,ty,mrad,7.0,10.0,197,0.01958834893649175,0.11927933904476369,0.004348868360925999
64,2,ty,mrad,10.0,15.0,208,0.016317103581726597,0.07844692457757291,0.005250036104866404
64,2,ty,mrad,15.0,20.0,109,0.02088255565000502,0.07693529472510006,0.004765940866724464
64,2,ty,mrad,20.0,30.0,115,0.014527313689437563,0.049400523508481495,0.006176104583128752
64,2,ty,mrad,30.0,50.0,55,0.01282041948833662,0.05184804160702562,0.011631957254526306
64,2,ty,mrad,50.0,100.0,24,0.017666778673591267,0.05419283916053681,0.020617283675733268
64,2,ty,mrad,100.0,200.0,6,0.012013526878292685,0.017940750598033524,0.010815618139636945
64,4,x,µm,1.0,2.0,5,426.86684387626883,1021.234709674934,229.5778429092934
64,4,x,µm,2.0,3.0,159,185.04208989281778,1343.3995408301598,8.052459273305605
64,4,x,µm,3.0,5.0,341,149.67997826715873,1233.7375398502672,51.53792106312301
64,4,x,µm,5.0,7.0,233,124.71455217837502,892.0363419941847,-57.933806497155125
64,4,x,µm,7.0,10.0,197,92.95943835934395,464.14636444965106,-63.02247006317224
64,4,x,µm,10.0,15.0,208,128.48113091793147,541.9676548689602,-86.96439481382876
64,4,x,µm,15.0,20.0,109,134.76028746208613,404.20844866956696,16.42502662735242
64,4,x,µm,20.0,30.0,115,111.51063029687691,365.78119772398304,67.09019314256733
64,4,x,µm,30.0,50.0,55,61.840088176179364,608.5272595673132,4.9901763838405575
64,4,x,µm,50.0,100.0,24,236.04264622201754,856.5678412901146,62.33805450269436
64,4,x,µm,100.0,200.0,6,208.80456492462417,1233.8647629089294,329.1715655368928
64,4,y,µm,1.0,2.0,5,737.195795870548,1328.5832076764705,-16.478704363552765
64,4,y,µm,2.0,3.0,159,212.26992969299374,1033.1254416501893,110.00843813629004
64,4,y,µm,3.0,5.0,341,101.99756337431154,863.8063062655874,57.53979240379222
64,4,y,µm,5.0,7.0,233,63.095472083205095,568.402542092917,-38.31773279269956
64,4,y,µm,7.0,10.0,197,43.73618286376768,323.52226979386916,6.630969708169683
64,4,y,µm,10.0,15.0,208,36.009401131916974,137.67571833134474,48.41247809655236
64,4,y,µm,15.0,20.0,109,28.96003724157481,174.62899251086117,-17.299651863464533
64,4,y,µm,20.0,30.0,115,27.541314062005995,107.64465058328481,-4.656158145908835
64,4,y,µm,30.0,50.0,55,22.76880128687253,78.71861768760604,-18.053502187668983
64,4,y,µm,50.0,100.0,24,13.580862403472338,102.31801506363632,-10.857806831526863
64,4,y,µm,100.0,200.0,6,11.58744744746798,49.08043776179127,-8.855367483469934
64,4,tx,mrad,1.0,2.0,5,0.15801314548069545,0.3817913952108842,0.09460831841570094
64,4,tx,mrad,2.0,3.0,159,0.09361252853046231,0.4158980753237839,-0.005010375358589858
64,4,tx,mrad,3.0,5.0,341,0.05703513817498229,0.3723591031438156,0.022379967393067975
64,4,tx,mrad,5.0,7.0,233,0.03953455570668285,0.24739855099785363,-0.01801930882075886
64,4,tx,mrad,7.0,10.0,197,0.03163790177646009,0.1497570806823888,-0.02294942737589581
64,4,tx,mrad,10.0,15.0,208,0.03119795656392893,0.1824326451903728,-0.023475362047899198
64,4,tx,mrad,15.0,20.0,109,0.04866061786042153,0.1707169189931189,0.00562758223463913
64,4,tx,mrad,20.0,30.0,115,0.04397488744649347,0.14052201719147728,0.030178396421086388
64,4,tx,mrad,30.0,50.0,55,0.038635704388702286,0.21583357375465853,0.002919738060791544
64,4,tx,mrad,50.0,100.0,24,0.08505605633864037,0.2538808573659301,0.010734243975465158
64,4,tx,mrad,100.0,200.0,6,0.09170060694851977,0.44095205210430877,0.11713457226552729
64,4,ty,mrad,1.0,2.0,5,0.15208749956627243,0.4323777532137834,-0.1502841655689856
64,4,ty,mrad,2.0,3.0,159,0.07306858783545644,0.3960255274600615,0.01837702072277694
